2019-11-17T21:44:16.000Z,b'#bitcoin\n\nPrice barely visited this lower support zone before being bought up quickly and seeing a nice bounce\n\n$8.\xe2\x80\xa6 https://t.co/bPD8cY8ToC',itcoin n nPrice arely visited this lower support zone efore eing ought up quickly and seeing a nice ounce n n 8 xe2 x80 xa6
2019-11-17T21:44:32.000Z,b'An Army of #Bitcoin Devs Is Battle-Testing Upgrades to Privacy and Scaling https://t.co/S5tFFJQgVe',An Army of Bitcoin Devs Is Battle Testing Upgrades to Privacy and Scaling
2019-11-17T21:44:36.000Z,"b'@GuntherSchnabl Er sagt auch das der Libanon zu Bitcoin wechseln soll, Nassim ist ein Bitcoiner.\\n\\nJoin the Revoluti\\xe2\\x80\\xa6 https://t.co/wDWAnQpT5G'",Er sagt auch das der Lianon zu Bitcoin wechseln soll Nassim ist ein Bitcoiner n nJoin the Revoluti xe2 x80 xa6
2019-11-17T21:45:00.000Z,b'This trade needs some patience but \xc4\xb1 believe we ll eventually get that target.\n\xe2\x8c\x9b\xef\xb8\x8f\xf0\x9f\x99\x8f\xe2\x8c\x9b\xef\xb8\x8f\xf0\x9f\x99\x8f\nif you like that content plea\xe2\x80\xa6 https://t.co/ZOyf4wWI78',This trade needs some patience ut xc4 x1 elieve we ll eventually get that target n xe2 x8c x9 xef x8 x8f xf0 x9f x99 x8f xe2 x8c x9 xef x8 x8f xf0 x9f x99 x8f nif you like that content plea xe2 x80 xa6
2019-11-17T21:45:01.000Z,b'\xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per Bitcoin #bitcoin #instituteofinternationalfinance\xe2\x80\xa6 https://t.co/phVn6QTJRh',xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per Bitcoin itcoin instituteofinternationalfinance xe2 x80 xa6
2019-11-17T21:45:04.000Z,"b'You can now buy and sell cryptocurrency. Coinbase is the easiest place to buy, sell, and manage your cryptocurrency\\xe2\\x80\\xa6 https://t.co/5U2NpnvPZO'",You can now uy and sell cryptocurrency Coinase is the easiest place to uy sell and manage your cryptocurrency xe2 x80 xa6
2019-11-17T21:45:18.000Z,"b\"\"\\xc4xb0ran'daki Kargaxc5x9fa #Bitcoin'in Artxc4xb1xc5x9fxc4xb1 xc4xb0xc3xa7in Bir Katalizxc3xb6r Olabilir mi? https://t.co/BMilnKdfcr https://t.co/t1HorP1B2t\"\"",xc4x0ran daki Kargaxc5x9fa Bitcoin in Artxc4x1xc5x9fxc4x1 xc4x0xc3xa7in Bir Katalizxc3x6r Olailir mi
2019-11-17T21:45:20.000Z,"b'#BTC #Bitcoin Fractal Energy has all turned GREEN. Heading to: 11,427  13,764  15,195  19,921\\n\\n#DigitalGold\\xe2\\x80\\xa6 https://t.co/ny6LizBJGA'",BTC Bitcoin Fractal Energy has all turned GREEN Heading to 11 427 13 764 15 195 19 921 n n DigitalGold xe2 x80 xa6
2019-11-17T21:45:35.000Z,b'Funny how everyone panics just for a 100$ rejection on #Bitcoin..\n\nWhat will it be when #BTC will hit 9k lol?\xe2\x80\xa6 https://t.co/p90dNT5Yuj',Funny how everyone panics just for a 100 rejection on Bitcoin n nWhat will it e when BTC will hit 9k lol xe2 x80 xa6
2019-11-17T21:46:31.000Z,"\"b\"\"@federalreserve can you print me off around 50 billion so I can save our economy ? I'm here to help .. \\n#crypto\\n#bitcoin\"\"\"",can you print me off around 50 illion so I can save our economy I m here to help n crypto n itcoin
