2019-11-17T14:40:40.000Z,b'@BillyBambrough @ForbesCrypto @Google #BoughtXRP \n\nThrowback Wednesday: @Google backed @Ripple $XRP raises $55M fro\xe2\x80\xa6 https://t.co/8julf2znc9',BoughtXRP n nThrowack Wednesday acked XRP raises 55M fro xe2 x80 xa6
2019-11-17T14:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$CRO +11.956m\n$VET +3.978m\n$RLC +2.475m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$BTC -311.645m\n$ETH -46.146m\n$XRP -17.880m\xe2\x80\xa6 https://t.co/QW4rtQh0AV',crypto mkt cap last hour n n xf0 x9f x9a x80 n CRO 11 956m n VET 3 978m n RLC 2 475m n n xf0 x9f x8c xa7 xef x8 x8f n BTC 311 645m n ETH 46 146m n XRP 17 880m xe2 x80 xa6
2019-11-17T14:41:15.000Z,b'@APompliano @polina_marinova Damn son there you go!!! #Bitcoin \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',Damn son there you go Bitcoin xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5
2019-11-17T14:41:25.000Z,b'Buy your Yo Token for the next #yobit\nIEO/ICO:\n\nLimited Offer: \xf0\x9d\x9f\xad\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac \xf0\x9d\x97\xac\xf0\x9d\x97\xbc \xf0\x9d\x97\xa7\xf0\x9d\x97\xbc\xf0\x9d\x97\xb8\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb [\xf0\x9d\x97\xac\xf0\x9d\x97\xa2]\nDiscount Price: \xf0\x9d\x9f\xac.\xf0\x9d\x9f\xac\xf0\x9d\x9f\xac\xf0\x9d\x9f\xad \xf0\x9d\x97\xaf\xf0\x9d\x98\x81\xf0\x9d\x97\xb0\n\n\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\xac\x87\xef\xb8\x8f\xe2\x80\xa6 https://t.co/mEYWrJ4uoU',Buy your Yo Token for the next yoit nIEO ICO n nLimited Offer xf0 x9d x9f xad xf0 x9d x9f xac xf0 x9d x9f xac xf0 x9d x97 xac xf0 x9d x97 xc xf0 x9d x97 xa7 xf0 x9d x97 xc xf0 x9d x97 x8 xf0 x9d x97 x2 xf0 x9d x97 x xf0 x9d x97 xac xf0 x9d x97 xa2 nDiscount Price xf0 x9d x9f xac xf0 x9d x9f xac xf0 x9d x9f xac xf0 x9d x9f xad xf0 x9d x97 xaf xf0 x9d x98 x81 xf0 x9d x97 x0 n n xe2 xac x87 xef x8 x8f xe2 xac x87 xef x8 x8f xe2 xac x87 xef x8 x8f xe2 x80 xa6
2019-11-17T14:41:45.000Z,"b'#Bitcoin mining acts as a distributed server processing system. A form of secure multiparty computation, where the\\xe2\\x80\\xa6 https://t.co/ckOA1XWq1D'",Bitcoin mining acts as a distriuted server processing system A form of secure multiparty computation where the xe2 x80 xa6
2019-11-17T14:42:08.000Z,"b'Bitcoin Revolution Meets Protestant Reformation, Crypto Drives Change? #Bitcoin #Encryption  https://t.co/LolMj2LghH'",Bitcoin Revolution Meets Protestant Reformation Crypto Drives Change Bitcoin Encryption
2019-11-17T14:42:10.000Z,b'#Opini\xc3\xb3n Los adultos mayores son m\xc3\xa1s propensos a encontrarse en una situaci\xc3\xb3n de vulnerabilidad econ\xc3\xb3mica \xc2\xbfSabes c\xc3\xb3\xe2\x80\xa6 https://t.co/Rqy9alBPu4',Opini xc3 x3n Los adultos mayores son m xc3 xa1s propensos a encontrarse en una situaci xc3 x3n de vulnerailidad econ xc3 x3mica xc2 xfSaes c xc3 x3 xe2 x80 xa6
2019-11-17T14:42:22.000Z,b'\xf0\x9f\x9b\x8e\xef\xb8\x8f\xf0\x9f\x9b\x8e\xef\xb8\x8fDE CRYPTO WEEKUPDATE\xf0\x9f\x9b\x8e\xef\xb8\x8f\xf0\x9f\x9b\x8e\xef\xb8\x8f\n\nMet deze week\n\xf0\x9f\x93\x8dBitcoin in falling wedge\n\xf0\x9f\x93\x8dJohn de Mol wint rechtszaak\n\xf0\x9f\x93\x8dBAT verdienen m\xe2\x80\xa6 https://t.co/uTtY1uxo78',xf0 x9f x9 x8e xef x8 x8f xf0 x9f x9 x8e xef x8 x8fDE CRYPTO WEEKUPDATE xf0 x9f x9 x8e xef x8 x8f xf0 x9f x9 x8e xef x8 x8f n nMet deze week n xf0 x9f x93 x8dBitcoin in falling wedge n xf0 x9f x93 x8dJohn de Mol wint rechtszaak n xf0 x9f x93 x8dBAT verdienen m xe2 x80 xa6
2019-11-17T14:42:22.000Z,b'#Elad_Network aims to solve obstacles in cross-border real estate investments. And Elad uses blockchain and smart c\xe2\x80\xa6 https://t.co/RSj30eFTOM',Elad Network aims to solve ostacles in cross order real estate investments And Elad uses lockchain and smart c xe2 x80 xa6
2019-11-17T14:42:23.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8525.27 RSI(44.14) StochRSI(71.20,57.15) macd(-59.86,-72.64) sma21:8536.04 sma50:8689.5\\xe2\\x80\\xa6 https://t.co/AT0UlfyF3E'",Bitcoin Binance 4h BTCUSDT 8525 27 RSI 44 14 StochRSI 71 20 57 15 macd 59 86 72 64 sma21 8536 04 sma50 8689 5 xe2 x80 xa6
2019-11-17T14:42:25.000Z,b'Bitcoin vs Stocks right now...Oh yeah! Tag a crypto or stock lover Make your crypto project instafamous (see bio)\xe2\x80\xa6 https://t.co/8ssKacyaMH',Bitcoin vs Stocks right now Oh yeah Tag a crypto or stock lover Make your crypto project instafamous see io xe2 x80 xa6
2019-11-17T14:42:32.000Z,b'Bet on #Euro2020 by bitcoin! \n\nJoin https://t.co/OFxbPIdo3A &amp; get your 5 BTC Bonus.\n\nCheck it out!\nFast Deposit/Wit\xe2\x80\xa6 https://t.co/GphGaB8vgM',Bet on Euro2020 y itcoin n nJoin amp get your 5 BTC Bonus n nCheck it out nFast Deposit Wit xe2 x80 xa6
2019-11-17T14:42:39.000Z,b'I sincerely believe in the success of the project and I hope that he will give all of us great pleasure with our te\xe2\x80\xa6 https://t.co/YcW1c3BDS4',I sincerely elieve in the success of the project and I hope that he will give all of us great pleasure with our te xe2 x80 xa6
2019-11-17T14:42:50.000Z,b'@Cointelegraph Don\xe2\x80\x99t tell @MultiplazaPA that. Their GC thinks #bitcoin is only used for human trafficking \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',Don xe2 x80 x99t tell that Their GC thinks itcoin is only used for human trafficking xf0 x9f xa4 xa6 xf0 x9f x8f xc xe2 x80 x8d xe2 x99 x82 xef x8 x8f
2019-11-17T14:42:56.000Z,b'@extstock @dcs_token Good\n\n#cryptocurrency #bitcoin',Good n n cryptocurrency itcoin
2019-11-17T14:43:12.000Z,b'@swapzillaco SwapZilla is a very useful project that will allow users to monetize their SwapZilla . I wish the proj\xe2\x80\xa6 https://t.co/BPYmsj69Gb',SwapZilla is a very useful project that will allow users to monetize their SwapZilla I wish the proj xe2 x80 xa6
2019-11-17T14:43:19.000Z,b'Is this the Phoenix rising from the ashes?... #bitcoin #gold #Corruption tools. https://t.co/inNTewp2IY',Is this the Phoenix rising from the ashes itcoin gold Corruption tools
2019-11-17T14:43:20.000Z,"b'Yes , I m doing already \\xe2\\x9a\\xa1\\n\\n#crypto #cryptocurrency #blockchain #bitcoin #freedom #Financial #financialeducation\\xe2\\x80\\xa6 https://t.co/9rabBimZC7'",Yes I m doing already xe2 x9a xa1 n n crypto cryptocurrency lockchain itcoin freedom Financial financialeducation xe2 x80 xa6
2019-11-17T14:43:38.000Z,b'Join SwapZilla ICO: Among the most promising #ICO with tangible business proposition and huge potential growth ! Re\xe2\x80\xa6 https://t.co/nUGSehardo',Join SwapZilla ICO Among the most promising ICO with tangile usiness proposition and huge potential growth Re xe2 x80 xa6
2019-11-17T14:43:54.000Z,"b'\\xe2\\x8f\\xb0 17:43:54 #Piyasa #D\\xc3\\xb6viz\\n\\xe2\\x96\\xac USD: 5,7453 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR: 6,3498 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac GBP: 7,4139 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR/USD: 1,1052 $\\n\\xe2\\x96\\xbc Bitcoin: 8.554,6 $\\xe2\\x80\\xa6 https://t.co/aOIoVcBxLs'",xe2 x8f x0 17 43 54 Piyasa D xc3 x6viz n xe2 x96 xac USD 5 7453 xe2 x82 xa n xe2 x96 xac EUR 6 3498 xe2 x82 xa n xe2 x96 xac GBP 7 4139 xe2 x82 xa n xe2 x96 xac EUR USD 1 1052 n xe2 x96 xc Bitcoin 8 554 6 xe2 x80 xa6
2019-11-17T14:44:00.000Z,"b'Perhaps #Google Will Kill #Bitcoin, After All \\n\\n#VC #fintech #banking #finserv #cryptocurrency #finance #banks\\xe2\\x80\\xa6 https://t.co/waiHO6IRgD'",Perhaps Google Will Kill Bitcoin After All n n VC fintech anking finserv cryptocurrency finance anks xe2 x80 xa6
