2019-11-17T20:16:00.000Z,"b'#Bitcoin price prediction: #BTC/USD claws back ground above $8,500\\n\\nhttps://t.co/bRg8XtB4IJ'",Bitcoin price prediction BTC USD claws ack ground aove 8 500 n
2019-11-17T20:20:04.000Z,b'Turkey\xe2\x80\x99s Unexpected Rise to the Top of Global Crypto Adopters #Blockchain #Bitcoin #Turkey  https://t.co/xrS1mZXV02',Turkey xe2 x80 x99s Unexpected Rise to the Top of Gloal Crypto Adopters Blockchain Bitcoin Turkey
2019-11-17T20:20:20.000Z,b'Another #Trivia Night is coming! \n\nThis week $SAFE has partnered with @atheiosofficial and @BTCZOfficial for great\xe2\x80\xa6 https://t.co/ZemvuqZfAZ',Another Trivia Night is coming n nThis week SAFE has partnered with and for great xe2 x80 xa6
2019-11-17T20:20:23.000Z,b'Order your secure and smart BTC/ETH/Altcoin hardware wallet - Only 94.80 EUR https://t.co/WC9nt6QCb7 #bitcoin #btc\xe2\x80\xa6 https://t.co/prSnpCnF39',Order your secure and smart BTC ETH Altcoin hardware wallet Only 94 80 EUR itcoin tc xe2 x80 xa6
2019-11-17T20:20:40.000Z,b'@bitcoin #bitcoin and most cryptocurrency have a structural flaw! It will only decline in value! bitfollo structure\xe2\x80\xa6 https://t.co/I9nhTlPljf',itcoin and most cryptocurrency have a structural flaw It will only decline in value itfollo structure xe2 x80 xa6
2019-11-17T20:20:53.000Z,"b'El precio del #BTC: 8,570 USD // 7,755 EUR // 164,393 MXN // 4,976,388 CRC // 509,916 ARS // 29,549,072 COP #bitcoin #criptomonedas'",El precio del BTC 8 570 USD 7 755 EUR 164 393 MXN 4 976 388 CRC 509 916 ARS 29 549 072 COP itcoin criptomonedas
2019-11-17T20:21:01.000Z,"b'#Bitcoin Breaks $8700, Dragging XRP, ETH, LTC, And XLM Down\\xe2\\x80\\x94What\\xe2\\x80\\x99s Next? #Crypto #Ethereum #Litecoin #Ripple\\xe2\\x80\\xa6 https://t.co/X3hbEHw4uo'",Bitcoin Breaks 8700 Dragging XRP ETH LTC And XLM Down xe2 x80 x94What xe2 x80 x99s Next Crypto Ethereum Litecoin Ripple xe2 x80 xa6
2019-11-17T20:21:02.000Z,"b'$BAT 3D TF $BATBTC\\nPrice hitting Kijun Sen and old trendline acting as resistant, if breakout TP4/cloud target 3861\\xe2\\x80\\xa6 https://t.co/CBM8N78CIK'",BAT 3D TF BATBTC nPrice hitting Kijun Sen and old trendline acting as resistant if reakout TP4 cloud target 3861 xe2 x80 xa6
2019-11-17T20:21:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/GaciVtO6J0',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
2019-11-17T20:21:28.000Z,b'X Tokyo X Store IS NOW OPEN ! \n\n#crypto #bitcoin #cryptocurrency #blockchain #btc #ethereum #trading #money\xe2\x80\xa6 https://t.co/CEusNawubP',X Tokyo X Store IS NOW OPEN n n crypto itcoin cryptocurrency lockchain tc ethereum trading money xe2 x80 xa6
2019-11-17T20:22:26.000Z,b'O mundo est\xc3\xa1 acordando\n\n#bitcoin #crypto #cryptocurrency https://t.co/ffoepwd9R5',O mundo est xc3 xa1 acordando n n itcoin crypto cryptocurrency
2019-11-17T20:22:33.000Z,"b'BlockShow Asia, Bitcoin Crash Warning, India Delays Crypto Ban: Hodler\\xe2\\x80\\x99s Digest, Nov. 11\\xe2\\x80\\x9317 https://t.co/DfvYRQV8sF\\xe2\\x80\\xa6 https://t.co/0cXkekn0hi'",BlockShow Asia Bitcoin Crash Warning India Delays Crypto Ban Hodler xe2 x80 x99s Digest Nov 11 xe2 x80 x9317
2019-11-17T20:22:33.000Z,b'AA #Ler\xc3\x89SaberQuePode #Jjihec  #ReadIsKnowThatCan #Frase #Aforismo #Pensamento #Sabedoria #Coaching #Coach #Trader\xe2\x80\xa6 https://t.co/bj4tDx5hjX',AA Ler xc3 x89SaerQuePode Jjihec ReadIsKnowThatCan Frase Aforismo Pensamento Saedoria Coaching Coach Trader xe2 x80 xa6
2019-11-17T20:22:45.000Z,b'Very good project with an interesting idea. The admins did a great job on the project! Good luck and development!\xe2\x80\xa6 https://t.co/LloRLNqu9D',Very good project with an interesting idea The admins did a great jo on the project Good luck and development xe2 x80 xa6
2019-11-17T20:22:54.000Z,b'@extstock @dcs_token Very good project with an interesting idea. The admins did a great job on the project! Good lu\xe2\x80\xa6 https://t.co/Wf7cJAwJkq',Very good project with an interesting idea The admins did a great jo on the project Good lu xe2 x80 xa6
2019-11-17T20:23:01.000Z,b'Today build your network organically. https://t.co/AK2yevJkSj #ad #wsj #nytimes #reuters #bloomberg #forbes #nasdaq\xe2\x80\xa6 https://t.co/miOEIyWB3M',Today uild your network organically ad wsj nytimes reuters loomerg fores nasdaq xe2 x80 xa6
2019-11-17T20:23:02.000Z,"b'$VIRA Press Body Symphony introduces its Founder, CEO &amp; R&amp;D Formulator, Dr. Max MacCloud https://t.co/SEDss4pMyG\\xe2\\x80\\xa6 https://t.co/OxCUmLtejf'",VIRA Press Body Symphony introduces its Founder CEO amp R amp D Formulator Dr Max MacCloud
2019-11-17T20:23:09.000Z,b'@satoshi_babe #Bitcoin (#BTC) = #Blockchain 1.0\n#Ethereum (#ETH) = #Blockchain 2.0\n#Stellar (#XLM) = #Blockchain 3.0',Bitcoin BTC Blockchain 1 0 n Ethereum ETH Blockchain 2 0 n Stellar XLM Blockchain 3 0
2019-11-17T20:23:35.000Z,"b\"\"\\xe2x9axa1  New venue  xe2x9axa1nnLightning Prism  nChange the site's color for everyone and leave a message in that color for a smaxe2x80xa6 https://t.co/RDQtQIOzUl\"\"",xe2x9axa1 New venue xe2x9axa1nnLightning Prism nChange the site s color for everyone and leave a message in that color for a smaxe2x80xa6
