2019-11-17T06:31:26.000Z,b'Protesters destroyed central Bank\n\n#bitcoin https://t.co/rNHxbUC6MS',Protesters destroyed central Bank n n itcoin
2019-11-17T06:34:37.000Z,"\"b\"\"@extstock @dcs_token Fine! I'm in the right place at the right time! I have high hopes for\\n@extstock and @dcs_token\\n#cryptocurrency #bitcoin\"\"\"",Fine I m in the right place at the right time I have high hopes for n and n cryptocurrency itcoin
2019-11-17T06:34:37.000Z,b'I wanted to share with you the unique opportunity to participate in the Discoin project https://t.co/iPSYgvb2pv\xe2\x80\xa6 https://t.co/PoPzrjiHoj',I wanted to share with you the unique opportunity to participate in the Discoin project
2019-11-17T06:35:00.000Z,b'3 altcoins that have been reversed. \nhttps://t.co/z4LDf8jKFF\n#bitcoin $btc $btcusd #cryptocurrencies #altcoins #crypto',3 altcoins that have een reversed nhttps tc tcusd cryptocurrencies altcoins crypto
2019-11-17T06:35:32.000Z,b'\xf0\x9f\x8f\x80 Spain. ACB : #GranCanaria 0 [1.53] vs [14.5] #UniversidadCatolicadeMurcia 0 [3.05] #1xbit #bitcoin\xe2\x80\xa6 https://t.co/sbnLHuwXzp',xf0 x9f x8f x80 Spain ACB GranCanaria 0 1 53 vs 14 5 UniversidadCatolicadeMurcia 0 3 05 1xit itcoin xe2 x80 xa6
2019-11-17T06:35:34.000Z,b'Top 5 de la semana:\nConfirmaciones en #Bitcoin. Cobrar en #criptomonedas. Invertir lo menos. Bitcoin es moneda o re\xe2\x80\xa6 https://t.co/FgCzfPsBPw',Top 5 de la semana nConfirmaciones en Bitcoin Corar en criptomonedas Invertir lo menos Bitcoin es moneda o re xe2 x80 xa6
2019-11-17T06:35:39.000Z,b'The Hardware Bitcoin Wallet. Get Trezor now for only 89 EUR https://t.co/RyPUbEzrNS #btc #bitcoin 01 https://t.co/JhE3aoIbRc',The Hardware Bitcoin Wallet Get Trezor now for only 89 EUR tc itcoin 01
2019-11-17T06:36:33.000Z,"b'Nuovo post su Bitcoin News: #Future ##Bitcoin - ##Bitcoin #Alle #Banche #Supporto, #Autore: #Hal #Finney [\\xe2\\x80\\xa6 https://t.co/HPEIW3yVaZ'",Nuovo post su Bitcoin News Future Bitcoin Bitcoin Alle Banche Supporto Autore Hal Finney xe2 x80 xa6
2019-11-17T06:36:38.000Z,b'Germany Forces Apple to Allow Mobile Payment Competition on iPhones https://t.co/VZ6PD4moMb #bitcoin #bitcoinnews #btc #cryptocurrency',Germany Forces Apple to Allow Moile Payment Competition on iPhones itcoin itcoinnews tc cryptocurrency
2019-11-17T06:37:02.000Z,b'[interesting POV]\n\nHow #Microsoft might become a threat to #Bitcoin\n\n#cryptocurrency #fintech #censorship\xe2\x80\xa6 https://t.co/7S3n7nmMfn',interesting POV n nHow Microsoft might ecome a threat to Bitcoin n n cryptocurrency fintech censorship xe2 x80 xa6
2019-11-17T06:37:58.000Z,b'@markets Lol.  ~7% of S&amp;P500 \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nIt would be better if Saudi buy  #bitcoin then started selling oil for #bitcoin.\xe2\x80\xa6 https://t.co/8dxN8qf0FB',Lol 7 of S amp P500 xf0 x9f xa4 xa6 xe2 x80 x8d xe2 x99 x82 xef x8 x8f n nIt would e etter if Saudi uy itcoin then started selling oil for itcoin xe2 x80 xa6
2019-11-17T06:38:14.000Z,"b'So as to improve the worldwide payment, exchange and trades, Speculative ALCHEMY has launched another blockchain ba\\xe2\\x80\\xa6 https://t.co/ki5K6iuESp'",So as to improve the worldwide payment exchange and trades Speculative ALCHEMY has launched another lockchain a xe2 x80 xa6
2019-11-17T06:38:23.000Z,"\"b'\"\"Ethereum (ETH) Price Weekly Forecast: Crucial Support At Risk\"\" https://t.co/cv2oR8u4x5 #bitcoin https://t.co/IRaMQIDfza'\"",Ethereum ETH Price Weekly Forecast Crucial Support At Risk itcoin
2019-11-17T06:38:30.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8475.905',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8475 905
2019-11-17T06:38:50.000Z,b'#IEO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale #Alchemy https://t.co/P8WFsaVnin',IEO Crowdsale Bitcoin Blockchain Token ETH Ethereum TokenSale Alchemy
2019-11-17T06:38:58.000Z,b'@DevaCrypto @Cryptocoincard @MuchamatRiza @Chukongchain Receive 500 AMPX for early signup. 100 AMPX per referral an\xe2\x80\xa6 https://t.co/GjStk6ntZZ',Receive 500 AMPX for early signup 100 AMPX per referral an xe2 x80 xa6
2019-11-17T06:39:12.000Z,"b'Cuz we know everyone loves fractals .... i feel this next run will be jaw dropping, heres the #crypto market cap sh\\xe2\\x80\\xa6 https://t.co/6LduLDiIRf'",Cuz we know everyone loves fractals i feel this next run will e jaw dropping heres the crypto market cap sh xe2 x80 xa6
2019-11-17T06:39:17.000Z,"b'1 Bitcoin ( #BTC )\\nDollar: 8469.69$ \\n\\n1 Bitcoin Cash ( #BCH )\\nDollar: 2,63.88$ \\n\\n1 Ethereum ( #ETH )\\nDollar: 181.13\\xe2\\x80\\xa6 https://t.co/XWodx0yz0o'",1 Bitcoin BTC nDollar 8469 69 n n1 Bitcoin Cash BCH nDollar 2 63 88 n n1 Ethereum ETH nDollar 181 13 xe2 x80 xa6
