2019-11-17T20:00:54.000Z,"\"b'@coindesk Reports:  \"\"Ledger\\xe2\\x80\\x99s Vault Scores $150 Million in Crypto Insurance From Lloyd\\xe2\\x80\\x99s Syndicate.\"\" \\n.\\nSee more he\\xe2\\x80\\xa6 https://t.co/57kqiLu9fe'\"",Reports Ledger xe2 x80 x99s Vault Scores 150 Million in Crypto Insurance From Lloyd xe2 x80 x99s Syndicate n nSee more he xe2 x80 xa6
2019-11-17T20:00:59.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 23:00:59\\n#Bitcoin: $8,630.145\\n#Ethereum: $186.194\\n#XRP: $0.267\\xe2\\x80\\xa6 https://t.co/hUdAl5cpyk'",Top 5 cryptocurrencies n Alert Time 2019 11 17 23 00 59 n Bitcoin 8 630 145 n Ethereum 186 194 n XRP 0 267 xe2 x80 xa6
2019-11-17T20:00:59.000Z,b'#bitcoin may be #forming #long-term #bottom as #bulls #fight back \n#instabitcoin #instablockchain #instaico\xe2\x80\xa6 https://t.co/5ELAg8YyrD',itcoin may e forming long term ottom as ulls fight ack n instaitcoin instalockchain instaico xe2 x80 xa6
2019-11-17T20:01:07.000Z,b'1 #BTC (#Bitcoin) quotes:\n$8555.37/$8563.51 #Bitstamp\n$8558.90/$8561.87 #Kraken\n\xe2\x87\xa2$-4.61/$6.50',1 BTC Bitcoin quotes n 8555 37 8563 51 Bitstamp n 8558 90 8561 87 Kraken n xe2 x87 xa2 4 61 6 50
2019-11-17T20:01:07.000Z,b'Venezuela to Pay Retirees and Pensioners Christmas Bonus in Petro\n#Bitcoin #Crypto #Cryptocurrency #October1st\xe2\x80\xa6 https://t.co/BLXHjuJpJZ',Venezuela to Pay Retirees and Pensioners Christmas Bonus in Petro n Bitcoin Crypto Cryptocurrency Octoer1st xe2 x80 xa6
2019-11-17T20:01:09.000Z,b'Tether (USDT) pierde -0.89% respecto a #Bitcoin y cotiza a 1.011usd en el puesto #5 segun MarketCap.\xe2\x80\xa6 https://t.co/31onpkHfuN',Tether USDT pierde 0 89 respecto a Bitcoin y cotiza a 1 011usd en el puesto 5 segun MarketCap xe2 x80 xa6
2019-11-17T20:01:11.000Z,b'\xe2\x82\xac 7808.37 #bitcoin',xe2 x82 xac 7808 37 itcoin
2019-11-17T20:01:18.000Z,"b'Top-5 Cryptos This Week: $NEO, $LINK, $ADA, $BNB, $LEO\\nhttps://t.co/JIgEXlFCzE\\n#altcoins #blockchain #crypto\\xe2\\x80\\xa6 https://t.co/zW8oq63pOr'",Top 5 Cryptos This Week NEO LINK ADA BNB LEO nhttps lockchain crypto xe2 x80 xa6
2019-11-17T20:01:20.000Z,b'#Cryptoknowmics #CKM #bitcoin #ethereum #cryptocurrency #IEO https://t.co/9PSiZaJERH',Cryptoknowmics CKM itcoin ethereum cryptocurrency IEO
2019-11-17T20:01:26.000Z,b'#crypto price changes last hour\n\n\xf0\x9f\x9a\x80\n$PMA +50.33%\n$HYDRO +16.92%\n$PI +14.86%\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$GAME -11.59%\n$MER -9.23%\n$CURE -9.0\xe2\x80\xa6 https://t.co/RQXvXItOqU',crypto price changes last hour n n xf0 x9f x9a x80 n PMA 50 33 n HYDRO 16 92 n PI 14 86 n n xf0 x9f x8c xa7 xef x8 x8f n GAME 11 59 n MER 9 23 n CURE 9 0 xe2 x80 xa6
2019-11-17T20:01:27.000Z,b'#Cryptoknowmics #CKM #bitcoin #ethereum #cryptocurrency #IEO https://t.co/6B2d93aBhj',Cryptoknowmics CKM itcoin ethereum cryptocurrency IEO
2019-11-17T20:01:27.000Z,b'#Crypto #Bitcoin #News #cryptocurrencynews #crypto #Business #Finance \n#Tech #Auch Folgen\n\nCrypto News From Japan:\xe2\x80\xa6 https://t.co/hVc3Dqo3u4',Crypto Bitcoin News cryptocurrencynews crypto Business Finance n Tech Auch Folgen n nCrypto News From Japan xe2 x80 xa6
