2019-11-17T11:24:30.000Z,"\"b\"\"@DiverterB Please",Please
2019-11-17T11:30:03.000Z,b'Bitcoin-Dominanz wird weiter ansteigen \xe2\x80\x93 Im Gespr\xc3\xa4ch mit Giacomo Zucco (Teil 2): Auf der von Fulmo organisierten Li\xe2\x80\xa6 https://t.co/Nd2NLguRuM',Bitcoin Dominanz wird weiter ansteigen xe2 x80 x93 Im Gespr xc3 xa4ch mit Giacomo Zucco Teil 2 Auf der von Fulmo organisierten Li xe2 x80 xa6
2019-11-17T11:30:04.000Z,b'One Bitcoin now worth $8545.273. Market Cap $154.263 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8545 273 Market Cap 154 263 Billion Based on coindesk BPI itcoin
2019-11-17T11:30:04.000Z,b'One Bitcoin now worth $8539.63@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.161 Billion #bitcoin',One Bitcoin now worth 8539 63 High 8589 100 Low 8375 000 Market Cap 154 161 Billion itcoin
2019-11-17T11:30:05.000Z,b'2019/11/17 20:30\n\nBTC 928428.5\xe5\x86\x86\nETH 20114.4\xe5\x86\x86\nETC 507.5\xe5\x86\x86\nBCH 28965.1\xe5\x86\x86\nXRP 28.7\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 85.9\xe5\x86\x86\nMONA 114.7\xe5\x86\x86\xe2\x80\xa6 https://t.co/Esql5AYrkL',2019 11 17 20 30 n nBTC 928428 5 xe5 x86 x86 nETH 20114 4 xe5 x86 x86 nETC 507 5 xe5 x86 x86 nBCH 28965 1 xe5 x86 x86 nXRP 28 7 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 85 9 xe5 x86 x86 nMONA 114 7 xe5 x86 x86 xe2 x80 xa6
2019-11-17T11:30:07.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 14:30:07\\n#Bitcoin: $8,604.474\\n#Ethereum: $185.631\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/RsIIki7m6Y'",Top 5 cryptocurrencies n Alert Time 2019 11 17 14 30 07 n Bitcoin 8 604 474 n Ethereum 185 631 n XRP 0 266 xe2 x80 xa6
2019-11-17T11:30:08.000Z,"b'Nov 17, 2019 11:29:00 UTC | 8,545.30$ | 7,732.40\\xe2\\x82\\xac | 6,620.40\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/pasL5QqXp5'",Nov 17 2019 11 29 00 UTC 8 545 30 7 732 40 xe2 x82 xac 6 620 40 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T11:30:12.000Z,"b'#BTC: \\xe2\\x82\\xba49.090,00\\n#ETH: \\xe2\\x82\\xba1.058,63\\n#LTC:  \\xe2\\x82\\xba342,76\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 14:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/UrY2O68xuw'",BTC xe2 x82 xa49 090 00 n ETH xe2 x82 xa1 058 63 n LTC xe2 x82 xa342 76 n XRP xe2 x82 xa1 52 n n17 11 19 14 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T11:30:15.000Z,"b'Hello humans, as of Sun Nov 17 05:30:14 CST 2019, current #cryptocoin prices:\\n#bitcoin is $8603.1573\\n#dash is $68.7\\xe2\\x80\\xa6 https://t.co/lF3MA1UXNK'",Hello humans as of Sun Nov 17 05 30 14 CST 2019 current cryptocoin prices n itcoin is 8603 1573 n dash is 68 7 xe2 x80 xa6
2019-11-17T11:30:20.000Z,"\"b'@olivierjanss @adam3us @JoelKatz @giacomozucco IQ test: \\n\\nImagine #bitcoin have \"\"unlimited\"\" block size and zero fee\\xe2\\x80\\xa6 https://t.co/ZokmbQvy8z'\"",IQ test n nImagine itcoin have unlimited lock size and zero fee xe2 x80 xa6
2019-11-17T11:30:20.000Z,b'Ripple Partner Banco Santander to Run its Blockchain-based Payment System on 6 More Corridors\xe2\x80\xa6 https://t.co/mkmUahQXU0',Ripple Partner Banco Santander to Run its Blockchain ased Payment System on 6 More Corridors xe2 x80 xa6
