2019-11-17T15:33:39.000Z,b'https://t.co/yPCWdSaYIW #andreasantonopoulos #bitcoin #blockchain',andreasantonopoulos itcoin lockchain
2019-11-17T15:38:01.000Z,b'ONS ALTIN ORTA VADE G\xc3\x96R\xc3\x9cN\xc3\x9cM\n\n$gold #gold #ons \n\n$xauusd #xauusd #xau #alt\xc4\xb1n #gralt\xc4\xb1n #gramalt\xc4\xb1n #gautry #gldgr\xe2\x80\xa6 https://t.co/pfThKqarxJ',ONS ALTIN ORTA VADE G xc3 x96R xc3 x9cN xc3 x9cM n n gold gold ons n n xauusd xauusd xau alt xc4 x1n gralt xc4 x1n gramalt xc4 x1n gautry gldgr xe2 x80 xa6
2019-11-17T15:38:07.000Z,b'@lopp @slush_pool #Bitcoin mining acts as a distributed server processing system. A form of secure multiparty compu\xe2\x80\xa6 https://t.co/kf4ZSUsSoj',Bitcoin mining acts as a distriuted server processing system A form of secure multiparty compu xe2 x80 xa6
2019-11-17T15:38:20.000Z,b'#cryptocurrency #bitcoin https://t.co/rPy1yDLcIf',cryptocurrency itcoin
2019-11-17T15:38:25.000Z,b'AMA - I was a major DarkNet vendor and went to FEDERAL PRISON! They nabbed me in Operation Gold Dark / Operation Da\xe2\x80\xa6 https://t.co/uDEYRAbBg6',AMA I was a major DarkNet vendor and went to FEDERAL PRISON They naed me in Operation Gold Dark Operation Da xe2 x80 xa6
2019-11-17T15:38:53.000Z,b'@maxkeiser raging @PeterSchiff about #BITCOIN \xf0\x9f\xa4\xa3 love it!! #Bitcoiners can\xe2\x80\x99t stand people who don\xe2\x80\x99t understand the v\xe2\x80\xa6 https://t.co/uMTNqAVm1i',raging aout BITCOIN xf0 x9f xa4 xa3 love it Bitcoiners can xe2 x80 x99t stand people who don xe2 x80 x99t understand the v xe2 x80 xa6
2019-11-17T15:39:00.000Z,b'$DIRV Announces new office opening https://t.co/oHs2Y7ezYZ  #ad #wsj #nytimes #reuters #bloomberg #forbes #nasdaq\xe2\x80\xa6 https://t.co/hwp5XPaBf1',DIRV Announces new office opening ad wsj nytimes reuters loomerg fores nasdaq xe2 x80 xa6
2019-11-17T15:39:15.000Z,"\"b\"\"#Bitcoin\\n#blockchain \\nDaily ..Cours qui n'arrivent a pas sortir du nuage malgr\\xc3\\xa9 le passage de la ROB",Bitcoin n lockchain nDaily Cours qui n arrivent a pas sortir du nuage malgr xc3 xa9 le passage de la ROB
2019-11-17T15:39:29.000Z,b'@freebitco \xf0\x9f\x94\xa5Earn Satoshi\xf0\x9f\x94\xa5every 3 min\xe2\x8f\xb1 on CoinPot Wallet\xf0\x9f\x94\x9d You decide when to claim! Claim Now! \xf0\x9f\x92\xb5\xf0\x9f\x92\x8e\xe2\x80\xa6 https://t.co/iDwKOi1Xb4',xf0 x9f x94 xa5Earn Satoshi xf0 x9f x94 xa5every 3 min xe2 x8f x1 on CoinPot Wallet xf0 x9f x94 x9d You decide when to claim Claim Now xf0 x9f x92 x5 xf0 x9f x92 x8e xe2 x80 xa6
2019-11-17T15:39:30.000Z,b'Join the Movement Don\xe2\x80\x99t be Left Out.... Learn the Secrets of the Banks. Trade Forex and Crypto Currency on Your Cel\xe2\x80\xa6 https://t.co/cSGU9Sdkht',Join the Movement Don xe2 x80 x99t e Left Out Learn the Secrets of the Banks Trade Forex and Crypto Currency on Your Cel xe2 x80 xa6
2019-11-17T15:39:39.000Z,b'@freebitco \xf0\x9f\x92\x8eMoon Bitcoin \xf0\x9f\x92\x8e The bitcoin faucet where YOU decide when to claim! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5CoinPot Wallet \xf0\x9f\x8f\x86\xe2\x80\xa6 https://t.co/0KGsuAhypQ',xf0 x9f x92 x8eMoon Bitcoin xf0 x9f x92 x8e The itcoin faucet where YOU decide when to claim xf0 x9f x94 xa5 xf0 x9f x94 xa5 xf0 x9f x94 xa5CoinPot Wallet xf0 x9f x8f x86 xe2 x80 xa6
