2019-11-17T13:12:06.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/filhe8SQiC',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T13:15:41.000Z,b'Top 5 Reasons Why You Should #Raise In #Poker Knowing when you should raise at a US online poker game is very impor\xe2\x80\xa6 https://t.co/HFYgDl4emE',Top 5 Reasons Why You Should Raise In Poker Knowing when you should raise at a US online poker game is very impor xe2 x80 xa6
2019-11-17T13:15:57.000Z,b'@codeyisfun I support #Bitcoin',I support Bitcoin
2019-11-17T13:16:04.000Z,"\"b\"\"Le condens\\xc3\\xa9 d'actu crypto de la semaine #Ethereum #Blockchain #Crypto #Bitcoin  https://t.co/muY1rGRDon\"\"\"",Le condens xc3 xa9 d actu crypto de la semaine Ethereum Blockchain Crypto Bitcoin
2019-11-17T13:16:13.000Z,b'$btc #alts is being traded around the same people. Total market cap barely moving! Need new retail or institutional\xe2\x80\xa6 https://t.co/tYr4p0yk0k',tc alts is eing traded around the same people Total market cap arely moving Need new retail or institutional xe2 x80 xa6
2019-11-17T13:16:17.000Z,b'Sotheby\xe2\x80\x99s Banks on Its Own Wine Brand #Bitcoin #Btc #Cryptocurrency #finance #forex #markets #fx $BTC $Gold\n\nRead \xe2\x86\x92\xe2\x80\xa6 https://t.co/vZ0l2Tcw0O',Sothey xe2 x80 x99s Banks on Its Own Wine Brand Bitcoin Btc Cryptocurrency finance forex markets fx BTC Gold n nRead xe2 x86 x92 xe2 x80 xa6
2019-11-17T13:16:41.000Z,b'@zeusyeet @kittyDCT19 @The5SIGNs1 @eddmetal #bitcoin \nTG:@\nhttps://t.co/MKtHiVELbZ',itcoin nTG
2019-11-17T13:17:04.000Z,b'Bitcoin Cash BCH Current Price:\n$270.45\n1 Hour: 0.43 % | 24 Hours: 1.32 % | 7 Days: -6.10 %\n#bch #bitcoin cash',Bitcoin Cash BCH Current Price n 270 45 n1 Hour 0 43 24 Hours 1 32 7 Days 6 10 n ch itcoin cash
2019-11-17T13:17:14.000Z,"\"b\"\"Hey guys!\\nlet's join our project. because our project is very good",Hey guys nlet s join our project ecause our project is very good
2019-11-17T13:17:32.000Z,b'#Emjac #Crypto #Blockchain #ethereum #bitcoin #ether #cryptocurrency  #tokensale https://t.co/opl3ql5FVl',Emjac Crypto Blockchain ethereum itcoin ether cryptocurrency tokensale
2019-11-17T13:18:21.000Z,b'#Turkey\xe2\x80\x99s Unexpected Rise to the Top of Global Crypto Adopters reported by https://t.co/oEcmDfpy46 ---- #Bitcoin\xe2\x80\xa6 https://t.co/UFpPar9caU',Turkey xe2 x80 x99s Unexpected Rise to the Top of Gloal Crypto Adopters reported y Bitcoin xe2 x80 xa6
2019-11-17T13:18:22.000Z,b'#Bitcoin #EWaste Generation is at 10.251 kilotonnes per year (comparable to a country like Luxembourg)\xe2\x80\xa6 https://t.co/TlNHfl7S5z',Bitcoin EWaste Generation is at 10 251 kilotonnes per year comparale to a country like Luxemourg xe2 x80 xa6
2019-11-17T13:18:24.000Z,b'\xe2\x80\x8cWhy China Fever on Bitcoin is Already Dropping After 1 Month of Blockchain Optimism. Read more:\xe2\x80\xa6 https://t.co/ijnGjtZsb4',xe2 x80 x8cWhy China Fever on Bitcoin is Already Dropping After 1 Month of Blockchain Optimism Read more xe2 x80 xa6
2019-11-17T13:18:54.000Z,"\"b\"\"@sameoldMrX Yeah \\xe2\\x80\\x93 I was wrong because I didn't yet understand market cycles and I expected utility to be far furth\\xe2\\x80\\xa6 https://t.co/JOTQJDVzja\"\"\"",Yeah xe2 x80 x93 I was wrong ecause I didn t yet understand market cycles and I expected utility to e far furth xe2 x80 xa6
2019-11-17T13:19:10.000Z,"b'@olivierjanss @adam3us @JoelKatz @giacomozucco By the way, there\\xe2\\x80\\x99s hearsay (I didn\\xe2\\x80\\x99t confirm) that there are severa\\xe2\\x80\\xa6 https://t.co/G5NPp4gYL0'",By the way there xe2 x80 x99s hearsay I didn xe2 x80 x99t confirm that there are severa xe2 x80 xa6
2019-11-17T13:19:26.000Z,"b'You Suffer . . . But why !? Bitcoin just hit $8,550.27, time to remotely toggle your rig at home... #bitcoin'",You Suffer But why Bitcoin just hit 8 550 27 time to remotely toggle your rig at home itcoin
2019-11-17T13:19:42.000Z,"b'#bitcoin: PA -- adding to this - if we get 15 min / 1hr closes above prev 12hr candle, then this looks like everyth\\xe2\\x80\\xa6 https://t.co/Enve0mPncm'",itcoin PA adding to this if we get 15 min 1hr closes aove prev 12hr candle then this looks like everyth xe2 x80 xa6
2019-11-17T13:19:44.000Z,b'#proptech #PropertyData #realestate #property #estateagent #AI #ArtificialIntelligence #blockchain #bitcoin https://t.co/5oHY83iooZ',proptech PropertyData realestate property estateagent AI ArtificialIntelligence lockchain itcoin
2019-11-17T13:19:47.000Z,b'En achter de schermen doen die oude banken precies hetzelfde op naar de #CashlessSociety met een soort van #Bitcoin\xe2\x80\xa6 https://t.co/vS9VsOp3lC',En achter de schermen doen die oude anken precies hetzelfde op naar de CashlessSociety met een soort van Bitcoin xe2 x80 xa6
2019-11-17T13:19:51.000Z,b'https://t.co/obDO16MWM9\n\xeb\xb9\x84 \xec\x98\xa4\xeb\x8a\x94 \xea\xb0\x80\xec\x9d\x84 \xeb\xb0\x94-\xec\x95\x94\n\xec\xa3\xbc\xeb\xa7\x90 \xec\x9e\x98 \xeb\xb3\xb4\xeb\x82\xb4\xec\x85\xa8\xeb\x82\x98\xec\x9a\x94 \n\xec\xa2\x8b\xec\x95\x84\xec\x9a\x94 \xed\x8d\xbc\xeb\x82\x98\xeb\xa5\xb4\xea\xb8\xb0 \n\xeb\xb6\x80\xed\x83\x81\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4 \n\xec\x9d\xb8\xeb\x8f\x84\xeb\xa9\x95\xec\x8a\xa4 \xec\x84\xa0\xeb\xac\xbc\xea\xb1\xb0\xeb\x9e\x98\xec\x86\x8c #bitcoin #\xeb\xb9\x84\xed\x8a\xb8\xec\xbd\x94\xec\x9d\xb8 #\xec\x95\x94\xed\x98\xb8\xed\x99\x94\xed\x8f\x90 #\xec\x9d\xb8\xeb\x8f\x84\xeb\xa9\x95\xec\x8a\xa4 #indomex',xec x98 xa4 xe x8a x94 xea x0 x80 xec x9d x84 xe x0 x94 xec x95 x94 n xec xa3 xc xe xa7 x90 xec x9e x98 xe x3 x4 xe x82 x4 xec x85 xa8 xe x82 x98 xec x9a x94 n xec xa2 x8 xec x95 x84 xec x9a x94 xed x8d xc xe x82 x98 xe xa5 x4 xea x8 x0 n xe x6 x80 xed x83 x81 xe x93 x9c xe xa6 xd xe x8 x88 xe x8 xa4 n xec x9d x8 xe x8f x84 xe xa9 x95 xec x8a xa4 xec x84 xa0 xe xac xc xea x1 x0 xe x9e x98 xec x86 x8c itcoin xe x9 x84 xed x8a x8 xec xd x94 xec x9d x8 xec x95 x94 xed x98 x8 xed x99 x94 xed x8f x90 xec x9d x8 xe x8f x84 xe xa9 x95 xec x8a xa4 indomex
2019-11-17T13:20:00.000Z,"b'Bitcoin Price at Last Line of Defense: $8,270 Must Hold \\xf0\\x9f\\x91\\x89 #NewsBTC #CryptocoinFactory #Bitcoin https://t.co/3nNFJgPyNv'",Bitcoin Price at Last Line of Defense 8 270 Must Hold xf0 x9f x91 x89 NewsBTC CryptocoinFactory Bitcoin
2019-11-17T13:20:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 16:20:02\\n#Bitcoin: $8,600.423\\n#Ethereum: $185.576\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/Zig8aWjSQN'",Top 5 cryptocurrencies n Alert Time 2019 11 17 16 20 02 n Bitcoin 8 600 423 n Ethereum 185 576 n XRP 0 266 xe2 x80 xa6
2019-11-17T13:20:02.000Z,b'\xe2\x9a\xbd\xef\xb8\x8f Campeonato Brasileiro de Futebol. S\xc3\xa9rie A : #GremioPortoAlegre 0 [2.045] vs [3.26] #Flamengo 0 [3.78] #1xbit\xe2\x80\xa6 https://t.co/SBMQ1NJG6x',xe2 x9a xd xef x8 x8f Campeonato Brasileiro de Futeol S xc3 xa9rie A GremioPortoAlegre 0 2 045 vs 3 26 Flamengo 0 3 78 1xit xe2 x80 xa6
