2019-11-17T02:00:30.000Z,b'BTC hourly update\n$8500.09    |    -0.0015%\xf0\x9f\x93\x89\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8500 09 0 0015 xf0 x9f x93 x89 n BTC BTCUSD Bitcoin
2019-11-17T02:00:32.000Z,"\"b'@Forbes Reports:  \"\"Blow To Bitcoin As Former ECB Boss Makes Dire Warning Over Crypto\\xe2\\x80\\x99s Future.\"\" \\n.\\nSee more here\\xe2\\x80\\xa6 https://t.co/j884JR44rz'\"",Reports Blow To Bitcoin As Former ECB Boss Makes Dire Warning Over Crypto xe2 x80 x99s Future n nSee more here xe2 x80 xa6
2019-11-17T02:00:34.000Z,b'\xf0\x9f\x91\x8c\xf0\x9f\x98\x8d Aliens T-Shirt \xf0\x9f\x98\x8d\xf0\x9f\x91\x8c\nTake 25% OFF with code WHALE25\nhttps://t.co/Ygmplnd05D  \xf0\x9f\x91\x88\n#Bitcoin $BTC #BTC #Crypto\xe2\x80\xa6 https://t.co/9AZ5o6oVfm',xf0 x9f x91 x8c xf0 x9f x98 x8d Aliens T Shirt xf0 x9f x98 x8d xf0 x9f x91 x8c nTake 25 OFF with code WHALE25 nhttps xf0 x9f x91 x88 n Bitcoin BTC BTC Crypto xe2 x80 xa6
2019-11-17T02:00:37.000Z,"b'Volume, less than $25 million, is Extremely light on #Coinbase (Pro) today ... even for a weekend | Right now, orde\\xe2\\x80\\xa6 https://t.co/zKcDD23PcJ'",Volume less than 25 million is Extremely light on Coinase Pro today even for a weekend Right now orde xe2 x80 xa6
2019-11-17T02:00:37.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/2xyBGJh8Yq',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T02:00:37.000Z,b'https://t.co/gykVY7q789 #Mindblown #Bitcoin #Facebook #libracoin #Libra #CaLibra #Bitcoin2019 #BitcoinIsBack https://t.co/KhgGERqApl',Mindlown Bitcoin Faceook liracoin Lira CaLira Bitcoin2019 BitcoinIsBack
2019-11-17T02:00:43.000Z,b'Play Royal Online Crypto Casino Crypto Exchange 1 Million Play Give Away Click Here To Enter\xe2\x80\xa6 https://t.co/JlfI8fWOkQ',Play Royal Online Crypto Casino Crypto Exchange 1 Million Play Give Away Click Here To Enter xe2 x80 xa6
2019-11-17T02:00:53.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 05:00:53\\n#Bitcoin: $8,550.215\\n#Ethereum: $183.424\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/CbfredgqBR'",Top 5 cryptocurrencies n Alert Time 2019 11 17 05 00 53 n Bitcoin 8 550 215 n Ethereum 183 424 n XRP 0 264 xe2 x80 xa6
2019-11-17T02:00:53.000Z,b'#retail #interest in #bitcoin #plateaus as #btc #price #stagnates \n#instablockchain #instabtc #cryptocurrency\xe2\x80\xa6 https://t.co/uc9Y9cEU8b',retail interest in itcoin plateaus as tc price stagnates n instalockchain instatc cryptocurrency xe2 x80 xa6
2019-11-17T02:00:54.000Z,b'Top 5 #crypto gainers \n Alert Time: 2019-11-17 05:00:54\n#MMOCoin: $0.055\n#Ubricoin: $0.001\n#SwiftCash: $0.003\xe2\x80\xa6 https://t.co/AOuRuFsjU0',Top 5 crypto gainers n Alert Time 2019 11 17 05 00 54 n MMOCoin 0 055 n Uricoin 0 001 n SwiftCash 0 003 xe2 x80 xa6
