2019-11-17T05:45:26.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8487.88 $       (+0.06 %)\n$ETH - 181.3 $         (0.0 %)\n$XRP - 0.26 $\xe2\x80\xa6 https://t.co/wfL86rb7yO',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8487 88 0 06 n ETH 181 3 0 0 n XRP 0 26 xe2 x80 xa6
2019-11-17T05:45:27.000Z,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC   - 7680.3 \xe2\x82\xac  (+0.06 %)\n$ETH   - 164.35 \xe2\x82\xac  (+0.2 %) \n$XRP   - 0.24 \xe2\x82\xac    (+0\xe2\x80\xa6 https://t.co/uL7P0je3Em',xf0 x9f x94 x84 Prices update in EUR 1 hour n n BTC 7680 3 xe2 x82 xac 0 06 n ETH 164 35 xe2 x82 xac 0 2 n XRP 0 24 xe2 x82 xac 0 xe2 x80 xa6
2019-11-17T05:45:38.000Z,"b'Carrefour, Nestl\\xc3\\xa9 Use IBM\\xe2\\x80\\x99s Blockchain Platform to Track Infant Formula #urbitcoinwear #bitcoin #news\\nhttps://t.co/hjIfonYCgp'",Carrefour Nestl xc3 xa9 Use IBM xe2 x80 x99s Blockchain Platform to Track Infant Formula uritcoinwear itcoin news
2019-11-17T05:45:39.000Z,"b'Regulated crypto platform Bakkt has begun testing its consumer payment app, which will give users the ability to pa\\xe2\\x80\\xa6 https://t.co/6kMoVJNQNF'",Regulated crypto platform Bakkt has egun testing its consumer payment app which will give users the aility to pa xe2 x80 xa6
2019-11-17T05:45:40.000Z,"b'Excellent company! I advise everyone to join, this company will definitely bring profit in the future. Good luck to\\xe2\\x80\\xa6 https://t.co/0b9Z2dMA6Z'",Excellent company I advise everyone to join this company will definitely ring profit in the future Good luck to xe2 x80 xa6
2019-11-17T05:45:40.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8486.1 $  (+0.14 %)\n$ETH - 181.51 $  (+0.17 %)\n$XRP - 0.26 $    (+0.4 %)\xe2\x80\xa6 https://t.co/kzNur40wDs',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8486 1 0 14 n ETH 181 51 0 17 n XRP 0 26 0 4 xe2 x80 xa6
2019-11-17T05:46:03.000Z,b'@EmpireResearch @CNBC @60Minutes Buy #bitcoin',Buy itcoin
2019-11-17T05:46:24.000Z,b'The Zap team introduced a new version of the Bitcoin wallet with Lightning Network support. https://t.co/vD1KCFJmn6\xe2\x80\xa6 https://t.co/UaDAV6CHdN',The Zap team introduced a new version of the Bitcoin wallet with Lightning Network support
2019-11-17T05:46:54.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8486.4 $  (+0.15 %)\n$ETH - 181.4 $   (+0.09 %)\n$XRP - 0.26 $    (+0.44 %)\xe2\x80\xa6 https://t.co/zsWPtEHcy2',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8486 4 0 15 n ETH 181 4 0 09 n XRP 0 26 0 44 xe2 x80 xa6
2019-11-17T05:46:59.000Z,b'https://t.co/fwgh1qHwoJ #bitcoin #btc\n#crypto',itcoin tc n crypto
2019-11-17T05:47:06.000Z,"b'Bitcoin (BTCUSD) forecast on November 18 \\xe2\\x80\\x94 24, 2019 #Ethereum #litecoin #bitcoin via https://t.co/gydENhzRSg https://t.co/Q8H5Rott8U'",Bitcoin BTCUSD forecast on Novemer 18 xe2 x80 x94 24 2019 Ethereum litecoin itcoin via
2019-11-17T05:47:10.000Z,"b'Pi is a new digital currency being developed by a group of Stanford PhDs. For a limited time, you can join the beta\\xe2\\x80\\xa6 https://t.co/8xM3gzBN0a'",Pi is a new digital currency eing developed y a group of Stanford PhDs For a limited time you can join the eta xe2 x80 xa6
2019-11-17T05:47:23.000Z,"\"b\"\"I am personally buying and can't stop doing this.\\n\\n#XRP #XRPcommunity #xrpthestandard #crypto #bitcoin https://t.co/xPdbIbTT8x\"\"\"",I am personally uying and can t stop doing this n n XRP XRPcommunity xrpthestandard crypto itcoin
2019-11-17T05:47:34.000Z,b'Earn Bitcoin Watching Youtube Video https://t.co/Genuwog2F1 #Bitcoin #Videos #Free',Earn Bitcoin Watching Youtue Video Bitcoin Videos Free
2019-11-17T05:48:01.000Z,b'#Diagon Token will be released on the basis of #Bitcoin and #Ethereum Total token supply 100M\xe2\x80\xa6 https://t.co/kndJ51SVtO',Diagon Token will e released on the asis of Bitcoin and Ethereum Total token supply 100M xe2 x80 xa6
2019-11-17T05:48:11.000Z,"b'Guys please retweet and make people aware,  these guys are a top class scam @Inplay_Matches . Please be aware.\\xe2\\x80\\xa6 https://t.co/GJBuIWBmKE'",Guys please retweet and make people aware these guys are a top class scam Please e aware xe2 x80 xa6
2019-11-17T05:48:52.000Z,b'Price of #Bitcoin dropped by 18 percent in one day \xe2\x80\x93 Luno explains why https://t.co/uf6agBGoqf #cryptocurrency',Price of Bitcoin dropped y 18 percent in one day xe2 x80 x93 Luno explains why cryptocurrency
2019-11-17T05:49:11.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8485.005',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8485 005
2019-11-17T05:49:23.000Z,b'Ether (ETH) Looks to Break Nearly 2-Year Bear Market Against #Bitcoin https://t.co/BmrdsZrOPa #crypto https://t.co/vRUE4zxNgg',Ether ETH Looks to Break Nearly 2 Year Bear Market Against Bitcoin crypto
2019-11-17T05:49:32.000Z,b'This\xf0\x9f\x91\x87! Humans have but 2 ways of resolving conflict. Speech and violence. Any entity that tries to limit what you c\xe2\x80\xa6 https://t.co/dK7YqiJmZr',This xf0 x9f x91 x87 Humans have ut 2 ways of resolving conflict Speech and violence Any entity that tries to limit what you c xe2 x80 xa6
