2019-11-17T21:00:02.000Z,b'\xf0\x9f\x93\x88 #Bitcoin (#BTC $BTC) global volume weighted average is currently $8546.74 | 0.94% change over 24hrs.  #crypto\xe2\x80\xa6 https://t.co/AyMcFRfblc',xf0 x9f x93 x88 Bitcoin BTC BTC gloal volume weighted average is currently 8546 74 0 94 change over 24hrs crypto xe2 x80 xa6
2019-11-17T21:00:02.000Z,"\"b\"\"Tomorrow's Bitcoin(BTC) forecast is\\n        \\n\\xe2\\x96\\xb3UP 43% \\n\\xe2\\x96\\xbcDOWN 57%\\n\\n#Bitcoin",Tomorrow s Bitcoin BTC forecast is n n xe2 x96 x3UP 43 n xe2 x96 xcDOWN 57 n n Bitcoin
2019-11-17T21:00:02.000Z,b'\xe3\x81\xbf\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xae\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3(btc) \xe3\x81\xae\xe4\xba\x88\xe6\x83\xb3\n        \n\xe2\x96\xb3\xe4\xb8\x8a\xe3\x81\x92\xe4\xba\x88\xe6\x83\xb343% \n\xe2\x96\xbc\xe4\xb8\x8b\xe3\x81\x92\xe4\xba\x88\xe6\x83\xb357%\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #btcjpy #btc #bitcoin #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\n\n\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe4\xba\x88\xe6\x83\xb3\xe3\x82\xa2\xe3\x83\x97\xe3\x83\xaa\xe2\x80\xa6 https://t.co/NRjFrgxYk5',xe3 x81 xf xe3 x82 x93 xe3 x81 xaa xe3 x81 xae xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 tc xe3 x81 xae xe4 xa x88 xe6 x83 x3 n n xe2 x96 x3 xe4 x8 x8a xe3 x81 x92 xe4 xa x88 xe6 x83 x343 n xe2 x96 xc xe4 x8 x8 xe3 x81 x92 xe4 xa x88 xe6 x83 x357 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 tcjpy tc itcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe4 xa x88 xe6 x83 x3 xe3 x82 xa2 xe3 x83 x97 xe3 x83 xaa xe2 x80 xa6
2019-11-17T21:00:02.000Z,"\"b\"\"The Bitcoin $BTC price is currently 8684.58 $USD or 7859.24 $EUR.\\nIt's the number #1 cryptocurrency on the Earth wi\\xe2\\x80\\xa6 https://t.co/eVrmKQ8MNd\"\"\"",The Bitcoin BTC price is currently 8684 58 USD or 7859 24 EUR nIt s the numer 1 cryptocurrency on the Earth wi xe2 x80 xa6
2019-11-17T21:00:02.000Z,"b'Bitcoin: $8,539.21\\n +0.87% (+$74.04)\\nHigh: $8,625\\nLow: $8,372.71\\nVolume: 46\\n\\n$BTC #BTC #bitcoin'",Bitcoin 8 539 21 n 0 87 74 04 nHigh 8 625 nLow 8 372 71 nVolume 46 n n BTC BTC itcoin
2019-11-17T21:00:03.000Z,"b'\\xe2\\x8f\\xb0 00:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 00 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
2019-11-17T21:00:03.000Z,b'MercadoBitcoin(BTC) =&gt; R$36399 | BlockChain(BTC) =&gt; R$35790 | MercadoBitcoin(LTC) =&gt; R$254 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36399 BlockChain BTC gt R 35790 MercadoBitcoin LTC gt R 254 itcoin litecoin
2019-11-17T21:00:04.000Z,b'One Bitcoin now worth $8542.643. Market Cap $154.222 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8542 643 Market Cap 154 222 Billion Based on coindesk BPI itcoin
2019-11-17T21:00:04.000Z,b'2019/11/18 06:00\n\nBTC 928831\xe5\x86\x86\nETH 20070.5\xe5\x86\x86\nETC 504.5\xe5\x86\x86\nBCH 29201.3\xe5\x86\x86\nXRP 28.7\xe5\x86\x86\nXEM 4.4\xe5\x86\x86\nLSK 85.3\xe5\x86\x86\nMONA 115.5\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/YCTMQrDkMW',2019 11 18 06 00 n nBTC 928831 xe5 x86 x86 nETH 20070 5 xe5 x86 x86 nETC 504 5 xe5 x86 x86 nBCH 29201 3 xe5 x86 x86 nXRP 28 7 xe5 x86 x86 nXEM 4 4 xe5 x86 x86 nLSK 85 3 xe5 x86 x86 nMONA 115 5 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T21:00:04.000Z,b'A new post: Venezuela to Pay Retirees and Pensioners Christmas Bonus in Petro is added on https://t.co/qWTGxZTiS6\xe2\x80\xa6 https://t.co/XAuUPi1Bll',A new post Venezuela to Pay Retirees and Pensioners Christmas Bonus in Petro is added on
