2019-11-17T16:00:28.000Z,b'@swapzillaco The project is constantly attracting growing interest as a global audience and investors! The project\xe2\x80\xa6 https://t.co/zl26RvceSb',The project is constantly attracting growing interest as a gloal audience and investors The project xe2 x80 xa6
2019-11-17T16:00:30.000Z,b'BTC hourly update\n$8541.84    |    +0.0008%\xf0\x9f\x93\x88\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8541 84 0 0008 xf0 x9f x93 x88 n BTC BTCUSD Bitcoin
2019-11-17T16:00:31.000Z,"b'Good morning, Friends! #motivation #money #follow #bitcoin #music'",Good morning Friends motivation money follow itcoin music
2019-11-17T16:00:31.000Z,b'Que penser de MakerDAO ? https://t.co/UMgQxfeW7j #cryptomonnaies #Bitcoin #Ethereum',Que penser de MakerDAO cryptomonnaies Bitcoin Ethereum
2019-11-17T16:00:31.000Z,b'Hebdo Crypto #72 \xe2\x80\x93 les actualit\xc3\xa9s de la semaine des cryptomonnaies https://t.co/NU6qWyzFMx #cryptomonnaies #Bitcoin #Ethereum',Hedo Crypto 72 xe2 x80 x93 les actualit xc3 xa9s de la semaine des cryptomonnaies cryptomonnaies Bitcoin Ethereum
2019-11-17T16:00:31.000Z,b'Lightnite Battle Royale https://t.co/dpGQv50gZj #cryptomonnaies #Bitcoin #Ethereum',Lightnite Battle Royale cryptomonnaies Bitcoin Ethereum
2019-11-17T16:00:32.000Z,"b'Iran Central Bank Branch Set on Fire, Crypto Community Follows Events https://t.co/y9hCUanEVR #Bitcoin\\xe2\\x80\\xa6 https://t.co/QMDBkotBMf'",Iran Central Bank Branch Set on Fire Crypto Community Follows Events Bitcoin xe2 x80 xa6
2019-11-17T16:00:32.000Z,b'The #BitcoinPizza would be worth US$0.00 right now (down % in the last 24 hours): #Bitcoin',The BitcoinPizza would e worth US 0 00 right now down in the last 24 hours Bitcoin
2019-11-17T16:00:32.000Z,b'Ethereum - Futura-Sciences https://t.co/sgw0dr4udt #cryptomonnaies #Bitcoin #Ethereum',Ethereum Futura Sciences cryptomonnaies Bitcoin Ethereum
2019-11-17T16:00:33.000Z,"b'#Bitcoin #cryptocurrencies Iran Central Bank Branch Set on Fire, Crypto Community Follows Events\\xe2\\x80\\xa6 https://t.co/FhTU9GWzA0'",Bitcoin cryptocurrencies Iran Central Bank Branch Set on Fire Crypto Community Follows Events xe2 x80 xa6
2019-11-17T16:00:34.000Z,"\"b\"\"Apr\\xc3\\xa8s la hard fork de Bitcoin Cash",Apr xc3 xa8s la hard fork de Bitcoin Cash
2019-11-17T16:00:35.000Z,b'ProtonMail Reveals It\xe2\x80\x99s Been \xe2\x80\x98HODLing\xe2\x80\x99 Its Bitcoin Payments for Years #cryptocurrencies #bitcoin #crypto\xe2\x80\xa6 https://t.co/hdx1COGfmZ',ProtonMail Reveals It xe2 x80 x99s Been xe2 x80 x98HODLing xe2 x80 x99 Its Bitcoin Payments for Years cryptocurrencies itcoin crypto xe2 x80 xa6
2019-11-17T16:00:36.000Z,b'Iran Violent Turmoil Could Be Catalyst for Next #bitcoin Surge #Iran https://t.co/8ihsg5tF1U https://t.co/kmqENjgcC8',Iran Violent Turmoil Could Be Catalyst for Next itcoin Surge Iran
2019-11-17T16:00:39.000Z,b'#GenesisMining Exclusive Discount qrpvG9 #BTC #ETH #LTC #Dash #XMR #Ether #altcoin #SHA256 #bitcoin #scrypt\xe2\x80\xa6 https://t.co/UZJY1Ugqd5',GenesisMining Exclusive Discount qrpvG9 BTC ETH LTC Dash XMR Ether altcoin SHA256 itcoin scrypt xe2 x80 xa6
2019-11-17T16:00:41.000Z,"b'3 \\xf0\\x9f\\x90\\xb7 international order, 2nd order of the month, so grateful adding a nice gift box of swine swag to my foreign fri\\xe2\\x80\\xa6 https://t.co/6uLhBmhEfd'",3 xf0 x9f x90 x7 international order 2nd order of the month so grateful adding a nice gift ox of swine swag to my foreign fri xe2 x80 xa6
2019-11-17T16:00:43.000Z,"\"b\"\"Now you can get Bitcoins right in your browser! You're just one click away from a new",Now you can get Bitcoins right in your rowser You re just one click away from a new
2019-11-17T16:00:46.000Z,b'#BTCUSD Market #1H timeframe on  November 17 at 15:00 (UTC)  is #Bullish.  #cryptocurrency #bitcoin  #btc #crypto\xe2\x80\xa6 https://t.co/SQkZUo9Dyo',BTCUSD Market 1H timeframe on Novemer 17 at 15 00 UTC is Bullish cryptocurrency itcoin tc crypto xe2 x80 xa6
2019-11-17T16:00:57.000Z,b'I just placed a bet with #bitcoin! Follow or fade #NitroNFLFreeBet @NitrogenSports! https://t.co/kIDmMfXHX9',I just placed a et with itcoin Follow or fade NitroNFLFreeBet
2019-11-17T16:00:59.000Z,b'The dollar is not the same as it always was. Years ago it was backed by hard assets. Things change.\n\n#Bitcoin is no\xe2\x80\xa6 https://t.co/KwIwdIaJIZ',The dollar is not the same as it always was Years ago it was acked y hard assets Things change n n Bitcoin is no xe2 x80 xa6
2019-11-17T16:01:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 19:01:02\\n#Bitcoin: $8,593.444\\n#Ethereum: $185.174\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/VuxJGeHndj'",Top 5 cryptocurrencies n Alert Time 2019 11 17 19 01 02 n Bitcoin 8 593 444 n Ethereum 185 174 n XRP 0 265 xe2 x80 xa6
2019-11-17T16:01:05.000Z,b'This is a great move by @handcashapp! Will add that extra layer of security for all parties when making transaction\xe2\x80\xa6 https://t.co/FqCccC7wpm',This is a great move y Will add that extra layer of security for all parties when making transaction xe2 x80 xa6
2019-11-17T16:01:06.000Z,b'@swapzillaco This is undoubtedly the most excellent project on the market from the existing ones. I tell everyone a\xe2\x80\xa6 https://t.co/NEWJK9J8Pa',This is undoutedly the most excellent project on the market from the existing ones I tell everyone a xe2 x80 xa6
