2019-11-17T12:25:24.000Z,b'Reply of the Year. #Bitcoin #S2F 2028 https://t.co/TSDEtd42Wi',Reply of the Year Bitcoin S2F 2028
2019-11-17T12:28:50.000Z,b'@Crypto_Boy1 #Bitcoin #\xf0\x9f\xa7\xa1\n\nhttps://t.co/Qd8VFlSRAC',Bitcoin xf0 x9f xa7 xa1 n
2019-11-17T12:29:01.000Z,b'We should give each other hope not take it away.\n\nPositivity will get us futher than any amount of negativity.\xe2\x80\xa6 https://t.co/3kCFohf0YV',We should give each other hope not take it away n nPositivity will get us futher than any amount of negativity xe2 x80 xa6
2019-11-17T12:29:11.000Z,b'https://t.co/cxdEZID40q\n#realestate #blockchain #property #bitcoin\nELAD Network will bring together P2P (peer-to-pe\xe2\x80\xa6 https://t.co/hyKyg4fVqa',lockchain property itcoin nELAD Network will ring together P2P peer to pe xe2 x80 xa6
2019-11-17T12:29:14.000Z,b'Is Blockchain-powered Medicine Just What the Doctor Ordered?\n#Bitcoin #Crypto #Cryptocurrency #October1st #HereWeGo\nhttps://t.co/6veDmaFGKo',Is Blockchain powered Medicine Just What the Doctor Ordered n Bitcoin Crypto Cryptocurrency Octoer1st HereWeGo
2019-11-17T12:29:16.000Z,"b'\\xe8\\xbf\\xb7\\xe3\\x81\\xa3\\xe3\\x81\\x9f\\xe3\\x82\\x89\\xe5\\x88\\x87\\xe3\\x82\\x8c #fx,#bitcoin'",xe8 xf x7 xe3 x81 xa3 xe3 x81 x9f xe3 x82 x89 xe5 x88 x87 xe3 x82 x8c fx itcoin
2019-11-17T12:29:50.000Z,"\"b\"\"Currently working on #BitcoinToro.\\nI want it to become world's most \\xf0\\x9f\\x87\\xb9 \\xf0\\x9f\\x87\\xb7 \\xf0\\x9f\\x87\\xba \\xf0\\x9f\\x87\\xb8 \\xf0\\x9f\\x87\\xb9 \\xf0\\x9f\\x87\\xaa \\xf0\\x9f\\x87\\xa9 #News name for the #Bitcoin #ICOs\\xe2\\x80\\xa6 https://t.co/s9mGyugYST\"\"\"",Currently working on BitcoinToro nI want it to ecome world s most xf0 x9f x87 x9 xf0 x9f x87 x7 xf0 x9f x87 xa xf0 x9f x87 x8 xf0 x9f x87 x9 xf0 x9f x87 xaa xf0 x9f x87 xa9 News name for the Bitcoin ICOs xe2 x80 xa6
2019-11-17T12:30:02.000Z,b'Bitcoin Weekly Forecast: BTC Price Turned Sell On Rallies \xf0\x9f\x91\x89 #NewsBTC #CryptocoinFactory #Bitcoin https://t.co/eOzfeSkdow',Bitcoin Weekly Forecast BTC Price Turned Sell On Rallies xf0 x9f x91 x89 NewsBTC CryptocoinFactory Bitcoin
2019-11-17T12:30:04.000Z,b'2019/11/17 21:30\n\nBTC 929832.5\xe5\x86\x86\nETH 20128.7\xe5\x86\x86\nETC 508.2\xe5\x86\x86\nBCH 29120.4\xe5\x86\x86\nXRP 28.7\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 86.3\xe5\x86\x86\nMONA 115.6\xe5\x86\x86\xe2\x80\xa6 https://t.co/8ulwknPENR',2019 11 17 21 30 n nBTC 929832 5 xe5 x86 x86 nETH 20128 7 xe5 x86 x86 nETC 508 2 xe5 x86 x86 nBCH 29120 4 xe5 x86 x86 nXRP 28 7 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 86 3 xe5 x86 x86 nMONA 115 6 xe5 x86 x86 xe2 x80 xa6
2019-11-17T12:30:04.000Z,"b'[\\xe2\\x82\\xbf] #Bitcoin Daily $BTC [\\xe2\\x82\\xbf]\\n\\nKraken\\xe2\\x9d\\xaf\\nA:$8,544 L:$8,364 H:$8,585\\nBitstamp\\xe2\\x9d\\xaf\\nA:$8,544 L:$8,375 H:$8,589\\nBitfinex\\xe2\\x9d\\xaf\\nA:$8\\xe2\\x80\\xa6 https://t.co/R8HncOoDSV'",xe2 x82 xf Bitcoin Daily BTC xe2 x82 xf n nKraken xe2 x9d xaf nA 8 544 L 8 364 H 8 585 nBitstamp xe2 x9d xaf nA 8 544 L 8 375 H 8 589 nBitfinex xe2 x9d xaf nA 8 xe2 x80 xa6
2019-11-17T12:30:04.000Z,b'One Bitcoin now worth $8544.30@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.246 Billion #bitcoin',One Bitcoin now worth 8544 30 High 8589 100 Low 8375 000 Market Cap 154 246 Billion itcoin
2019-11-17T12:30:04.000Z,b'One Bitcoin now worth $8554.925. Market Cap $154.438 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8554 925 Market Cap 154 438 Billion Based on coindesk BPI itcoin
2019-11-17T12:30:08.000Z,"b'Nov 17, 2019 12:29:00 UTC | 8,554.90$ | 7,741.10\\xe2\\x82\\xac | 6,627.90\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/mgI9Xig1KK'",Nov 17 2019 12 29 00 UTC 8 554 90 7 741 10 xe2 x82 xac 6 627 90 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T12:30:08.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 15:30:04\\n#Bitcoin: $8,607.522\\n#Ethereum: $185.948\\n#XRP: $0.267\\xe2\\x80\\xa6 https://t.co/JaTXSvO7G6'",Top 5 cryptocurrencies n Alert Time 2019 11 17 15 30 04 n Bitcoin 8 607 522 n Ethereum 185 948 n XRP 0 267 xe2 x80 xa6
2019-11-17T12:30:14.000Z,"b'Hello humans, as of Sun Nov 17 06:30:13 CST 2019, current #cryptocoin prices:\\n#bitcoin is $8606.1563\\n#dash is $68.7\\xe2\\x80\\xa6 https://t.co/suHCUSI6FA'",Hello humans as of Sun Nov 17 06 30 13 CST 2019 current cryptocoin prices n itcoin is 8606 1563 n dash is 68 7 xe2 x80 xa6
2019-11-17T12:30:15.000Z,"b'El precio del Bitcoin: 7,745.89\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 745 89 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T12:30:16.000Z,"b'#BTC: \\xe2\\x82\\xba49.088,00\\n#ETH: \\xe2\\x82\\xba1.063,13\\n#LTC:  \\xe2\\x82\\xba342,40\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 15:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/IcMVTTaByw'",BTC xe2 x82 xa49 088 00 n ETH xe2 x82 xa1 063 13 n LTC xe2 x82 xa342 40 n XRP xe2 x82 xa1 52 n n17 11 19 15 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T12:30:21.000Z,b'#crypto mkt cap winners last 2 hours\n\n$ETH $BTC $XRP $EOS $BCH $LTC $MKR $BAT \n#bitcoin #cryptocurrency https://t.co/eXk8imUeUl',crypto mkt cap winners last 2 hours n n ETH BTC XRP EOS BCH LTC MKR BAT n itcoin cryptocurrency
