2019-11-17T02:48:33.000Z,"b'Hey hey, episode 21 with @MyersKaia is now available on iTunes, Spotify and YouTube. We chat about her journey from\\xe2\\x80\\xa6 https://t.co/cgC5VfTm2B'",Hey hey episode 21 with is now availale on iTunes Spotify and YouTue We chat aout her journey from xe2 x80 xa6
2019-11-17T02:49:14.000Z,b'#Bitcoin Cash Hard Fork Sees Miners \xe2\x80\x98Waste\xe2\x80\x99 Money on 14 Invalid Blocks https://t.co/9U4VFTTN3V https://t.co/U1McfV22Wn',Bitcoin Cash Hard Fork Sees Miners xe2 x80 x98Waste xe2 x80 x99 Money on 14 Invalid Blocks
2019-11-17T02:49:18.000Z,"b'This has to be one of the lowest volume $btc days of the year.  No one left to sell?  Worse, no real demand.  Even\\xe2\\x80\\xa6 https://t.co/vEQ2zL0qoj'",This has to e one of the lowest volume tc days of the year No one left to sell Worse no real demand Even xe2 x80 xa6
2019-11-17T02:50:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 05:50:02\\n#Bitcoin: $8,549.517\\n#Ethereum: $183.382\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/hNevJiynYk'",Top 5 cryptocurrencies n Alert Time 2019 11 17 05 50 02 n Bitcoin 8 549 517 n Ethereum 183 382 n XRP 0 265 xe2 x80 xa6
2019-11-17T02:50:11.000Z,b'I wanted to share with you the unique opportunity to participate in the Discoin project https://t.co/TahbC1ofe1\xe2\x80\xa6 https://t.co/YPKqYhvhrg',I wanted to share with you the unique opportunity to participate in the Discoin project
2019-11-17T02:51:03.000Z,"\"b'Do not be this person that had the \"\"perfect\"\" excuse not to invest in bitcoin until it got out of his\\xe2\\x80\\xa6 https://t.co/ugk8dUAa4P'\"",Do not e this person that had the perfect excuse not to invest in itcoin until it got out of his xe2 x80 xa6
2019-11-17T02:51:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/xP6XOxq2Ef',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
2019-11-17T02:51:51.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8480.005',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8480 005
2019-11-17T02:52:06.000Z,b'\xe3\x80\x90\xe5\x89\x8d\xe6\x97\xa5\xe5\x85\xac\xe9\x96\x8b\xe3\x81\xae\xe6\xb3\xa8\xe7\x9b\xae\xe3\x83\x8b\xe3\x83\xa5\xe3\x83\xbc\xe3\x82\xb9\xf0\x9f\x91\x80\xe3\x80\x91\n\n\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb31\xe4\xb8\x876000\xe3\x83\x89\xe3\x83\xab\xe3\x81\xaf\xe3\x80\x8c\xe5\x89\xb2\xe3\x81\xa8\xe3\x81\x99\xe3\x81\x90\xe3\x81\xab\xe3\x80\x8d\xef\xbc\x9d\xe3\x83\x90\xe3\x82\xa4\xe3\x83\x8a\xe3\x83\xb3\xe3\x82\xb9CZ\xe3\x81\x8c\xe4\xba\x88\xe6\x83\xb3\xe3\x80\x90\xe4\xbe\xa1\xe6\xa0\xbc\xe4\xba\x88\xe6\x83\xb3\xe3\x80\x91\n\n$BTC #BITCOIN #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\n#\xe5\x89\xaf\xe6\xa5\xad #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8',xe3 x80 x90 xe5 x89 x8d xe6 x97 xa5 xe5 x85 xac xe9 x96 x8 xe3 x81 xae xe6 x3 xa8 xe7 x9 xae xe3 x83 x8 xe3 x83 xa5 xe3 x83 xc xe3 x82 x9 xf0 x9f x91 x80 xe3 x80 x91 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x31 xe4 x8 x876000 xe3 x83 x89 xe3 x83 xa xe3 x81 xaf xe3 x80 x8c xe5 x89 x2 xe3 x81 xa8 xe3 x81 x99 xe3 x81 x90 xe3 x81 xa xe3 x80 x8d xef xc x9d xe3 x83 x90 xe3 x82 xa4 xe3 x83 x8a xe3 x83 x3 xe3 x82 x9CZ xe3 x81 x8c xe4 xa x88 xe6 x83 x3 xe3 x80 x90 xe4 xe xa1 xe6 xa0 xc xe4 xa x88 xe6 x83 x3 xe3 x80 x91 n n BTC BITCOIN xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 n xe5 x89 xaf xe6 xa5 xad xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8
2019-11-17T02:52:11.000Z,b'#Bitcoin is #fiat fruit tree\nThe tree is currently growing rapidly \nWater (fiat) is a big depeding factor of tree g\xe2\x80\xa6 https://t.co/UDChL7jrM8',Bitcoin is fiat fruit tree nThe tree is currently growing rapidly nWater fiat is a ig depeding factor of tree g xe2 x80 xa6
