2019-11-17T13:06:50.000Z,b'@extstock @dcs_token #Cryptocurrency #bitcoin',Cryptocurrency itcoin
2019-11-17T13:09:29.000Z,b'\xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per #bitcoin #crypto #CentralBank #FiatMoney https://t.co/9o7ClmGCxu',xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per itcoin crypto CentralBank FiatMoney
2019-11-17T13:09:33.000Z,b'#17Nov 08:09 Precio del #Bitcoin:\nBitcoin COP: 27218234.45\nBitcoin USD: 9511.40\nTasa Cambio BTC: 2861.64\nFuente:\xe2\x80\xa6 https://t.co/2DFMhkBWMQ',17Nov 08 09 Precio del Bitcoin nBitcoin COP 27218234 45 nBitcoin USD 9511 40 nTasa Camio BTC 2861 64 nFuente xe2 x80 xa6
2019-11-17T13:09:39.000Z,b'Turkey\xe2\x80\x99s Unexpected Rise to the Top of Global Crypto Adopters https://t.co/c14dfkXuTd  #XBT #BTC #Bitcoin',Turkey xe2 x80 x99s Unexpected Rise to the Top of Gloal Crypto Adopters XBT BTC Bitcoin
2019-11-17T13:09:52.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8545.73',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8545 73
2019-11-17T13:09:53.000Z,b'@APompliano @polina_marinova Congratulations.   #LOVE  its going to be a #BITCOIN  wedding.\n\xf0\x9f\xa5\xac\xf0\x9f\xa5\xa6\xf0\x9f\xa5\x95\xf0\x9f\x8d\x93\xf0\x9f\x8d\x90\xf0\x9f\xa5\x91\xf0\x9f\x8d\x88\xf0\x9f\x8d\x89\xf0\x9f\x8d\x92',Congratulations LOVE its going to e a BITCOIN wedding n xf0 x9f xa5 xac xf0 x9f xa5 xa6 xf0 x9f xa5 x95 xf0 x9f x8d x93 xf0 x9f x8d x90 xf0 x9f xa5 x91 xf0 x9f x8d x88 xf0 x9f x8d x89 xf0 x9f x8d x92
2019-11-17T13:09:53.000Z,"b'#Bitcoin, #Ethereum, #Iota, #Litecoin siguen lateral bajistas pero con objetivos cumplidos y Rebote?\\xe2\\x80\\xa6 https://t.co/nz3j4UT5hR'",Bitcoin Ethereum Iota Litecoin siguen lateral ajistas pero con ojetivos cumplidos y Reote xe2 x80 xa6
2019-11-17T13:09:58.000Z,"b'Top Forex Trading Expert Reveals How You Can Learn To Trade Forex, Find Money-Making Trades, Whilst Reducing Your L\\xe2\\x80\\xa6 https://t.co/HsATGa632j'",Top Forex Trading Expert Reveals How You Can Learn To Trade Forex Find Money Making Trades Whilst Reducing Your L xe2 x80 xa6
2019-11-17T13:10:00.000Z,b'ConsenSys CSO Seeks to Raise $50M for New Blockchain Investment Fund \xf0\x9f\x91\x89 #CoinTelegraph #CryptocoinFactory #Bitcoin https://t.co/1uEzPv4VKK',ConsenSys CSO Seeks to Raise 50M for New Blockchain Investment Fund xf0 x9f x91 x89 CoinTelegraph CryptocoinFactory Bitcoin
2019-11-17T13:10:00.000Z,b'La participaci\xc3\xb3n de Venezuela en el criptomercado https://t.co/COPFdM9yDl #Criptomonedas #Bitcoin #BTC #PetroCoin\xe2\x80\xa6 https://t.co/upsEQyQE19',La participaci xc3 x3n de Venezuela en el criptomercado Criptomonedas Bitcoin BTC PetroCoin xe2 x80 xa6
2019-11-17T13:10:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 16:10:02\\n#Bitcoin: $8,611.496\\n#Ethereum: $186.039\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/CfBHAsOjPx'",Top 5 cryptocurrencies n Alert Time 2019 11 17 16 10 02 n Bitcoin 8 611 496 n Ethereum 186 039 n XRP 0 266 xe2 x80 xa6
