2019-11-17T12:56:32.000Z,b'Is this how #Bitcoin works? \n\n https://t.co/QSbFZmjH0S',Is this how Bitcoin works n n
2019-11-17T12:59:03.000Z,"b'@Cointelegraph Wake me up when #Bitcoin hits +$1,000,000.!!'",Wake me up when Bitcoin hits 1 000 000
2019-11-17T12:59:10.000Z,b'#Rakamoto #Blockchain #Bitcoin #Ethereum #BTC #ETH #Crypto #Cryptocurrency #DApp #Stablecoin #Coin #Coins #Token\xe2\x80\xa6 https://t.co/7odc2Zn0sN',Rakamoto Blockchain Bitcoin Ethereum BTC ETH Crypto Cryptocurrency DApp Stalecoin Coin Coins Token xe2 x80 xa6
2019-11-17T12:59:27.000Z,b'Earn money with out Investing - Just sign up and withdraw in your wallet\nhttps://t.co/K31zkFXVtr\n#money  #BitcoinCash #bitcoin',Earn money with out Investing Just sign up and withdraw in your wallet nhttps BitcoinCash itcoin
2019-11-17T12:59:31.000Z,"\"b'\\xf0\\x9f\\x93\\xa3 New Podcast! \"\"#FT ODCINEK NR 1000! VECHAIN I WALTONCHAIN - NIEPRAWDZIWE NEWSY\"\" on @Spreaker #audycje #bitcoin\\xe2\\x80\\xa6 https://t.co/HaJz1fiZyF'\"",xf0 x9f x93 xa3 New Podcast FT ODCINEK NR 1000 VECHAIN I WALTONCHAIN NIEPRAWDZIWE NEWSY on audycje itcoin xe2 x80 xa6
2019-11-17T12:59:38.000Z,b'#Rakamoto #Blockchain #Bitcoin #Ethereum #BTC #ETH #Crypto #Cryptocurrency #DApp #Stablecoin #Coin #Coins #Token\xe2\x80\xa6 https://t.co/4JIJoVIbPM',Rakamoto Blockchain Bitcoin Ethereum BTC ETH Crypto Cryptocurrency DApp Stalecoin Coin Coins Token xe2 x80 xa6
2019-11-17T12:59:42.000Z,b'4 saatlikte MA20 k\xc4\xb1r\xc4\xb1ld\xc4\xb1 ve ye\xc5\x9fil 2 yakt\xc4\xb1. Bu \xc5\x9fekilde 4 saatlikte mum kapat\xc4\xb1rsa longa girebilirsiniz. Risk almak is\xe2\x80\xa6 https://t.co/bCgSTSTJ5m',4 saatlikte MA20 k xc4 x1r xc4 x1ld xc4 x1 ve ye xc5 x9fil 2 yakt xc4 x1 Bu xc5 x9fekilde 4 saatlikte mum kapat xc4 x1rsa longa gireilirsiniz Risk almak is xe2 x80 xa6
2019-11-17T12:59:45.000Z,b'SUNDAY DIGEST: #BTC #BITCOIN PRICE AND THE RACE TO RULE THE #BLOCKCHAIN SPACE\n\nhttps://t.co/XsirPD6548',SUNDAY DIGEST BTC BITCOIN PRICE AND THE RACE TO RULE THE BLOCKCHAIN SPACE n
2019-11-17T13:00:01.000Z,"b'Bitcoin - BTC\\nPrice: $8,619.87\\nChange in 1h: +0.25%\\nMarket cap: $155,610,259,835.00\\nRanking: 1\\n#Bitcoin #BTC'",Bitcoin BTC nPrice 8 619 87 nChange in 1h 0 25 nMarket cap 155 610 259 835 00 nRanking 1 n Bitcoin BTC
2019-11-17T13:00:01.000Z,"b'#HourlyCryptoStatus (#1 to #3):\\n\\n#1 #btc (#bitcoin): 8,575.16 USD | 1.09% 24h\\n\\n#2 #eth (#ethereum): 185.62 USD | 2.\\xe2\\x80\\xa6 https://t.co/W4qBV3kGAb'",HourlyCryptoStatus 1 to 3 n n 1 tc itcoin 8 575 16 USD 1 09 24h n n 2 eth ethereum 185 62 USD 2 xe2 x80 xa6
2019-11-17T13:00:02.000Z,"b'Last hourly biggest #BITCOIN blockchain transaction : \\n \\n399 #BTC (3,423,067 USD) from multiple addresses to\\xe2\\x80\\xa6 https://t.co/K7FsUxVwRl'",Last hourly iggest BITCOIN lockchain transaction n n399 BTC 3 423 067 USD from multiple addresses to xe2 x80 xa6
