2019-11-17T10:43:44.000Z,b'#Bitcoin I lovee bitcoin. How about you?',Bitcoin I lovee itcoin How aout you
2019-11-17T10:46:07.000Z,b'L I F E\n\n    W I T H O U T\n\n     B I T C O I N \n\n       I S\n\n       R E A L L Y\n\n              R E A L L Y\n\n      B\xe2\x80\xa6 https://t.co/wTz6FinkoI',L I F E n n W I T H O U T n n B I T C O I N n n I S n n R E A L L Y n n R E A L L Y n n B xe2 x80 xa6
2019-11-17T10:46:07.000Z,b'#Bitcoin has been facing steep #selling pressure over the past 24-hours that has #marked an extension of that which\xe2\x80\xa6 https://t.co/QBXgfINNhJ',Bitcoin has een facing steep selling pressure over the past 24 hours that has marked an extension of that which xe2 x80 xa6
2019-11-17T10:46:19.000Z,"b'greetings from Klagenfurt, Austria...\\n\\nWhy Cryptocurrency Will Make The World A Better Place...\\n\\n- Reduce the risk\\xe2\\x80\\xa6 https://t.co/neit25pbxx'",greetings from Klagenfurt Austria n nWhy Cryptocurrency Will Make The World A Better Place n n Reduce the risk xe2 x80 xa6
2019-11-17T10:46:20.000Z,b'@bobbyclee @PaulColombo24 Bobby let us pray no legit satoshi comeout.\nPeople believe in jesus resurrection so if I\xe2\x80\xa6 https://t.co/ps3Me19bzr',Boy let us pray no legit satoshi comeout nPeople elieve in jesus resurrection so if I xe2 x80 xa6
2019-11-17T10:46:23.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC   - 8529.9 $    (+0.07 %)\n$ETH   - 183.47 $    (+0.13 %)\n$XRP   - 0.26 $\xe2\x80\xa6 https://t.co/S44DySjTR4',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8529 9 0 07 n ETH 183 47 0 13 n XRP 0 26 xe2 x80 xa6
2019-11-17T10:46:23.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8535.42 $       (+0.14 %)\n$ETH - 183.5 $         (+0.05 %)\n$XRP - 0.26 $\xe2\x80\xa6 https://t.co/CPxbyw4f1o',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8535 42 0 14 n ETH 183 5 0 05 n XRP 0 26 xe2 x80 xa6
2019-11-17T10:46:25.000Z,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC   - 7732.2 \xe2\x82\xac  (+0.18 %)\n$ETH   - 166.34 \xe2\x82\xac  (+0.08 %)\n$XRP   - 0.24 \xe2\x82\xac    (+0\xe2\x80\xa6 https://t.co/z5fgIveoW9',xf0 x9f x94 x84 Prices update in EUR 1 hour n n BTC 7732 2 xe2 x82 xac 0 18 n ETH 166 34 xe2 x82 xac 0 08 n XRP 0 24 xe2 x82 xac 0 xe2 x80 xa6
2019-11-17T10:46:37.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8525.18 $ (-0.01 %)\n$ETH - 183.55 $  (+0.09 %)\n$XRP - 0.26 $    (+0.11 %\xe2\x80\xa6 https://t.co/6L6X1t7uIo',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8525 18 0 01 n ETH 183 55 0 09 n XRP 0 26 0 11 xe2 x80 xa6
2019-11-17T10:47:07.000Z,b'Recycling robots raise millions from top venture firms to rescue an industry in turmoil \xe2\x80\x93 TechCrunch\xe2\x80\xa6 https://t.co/izi95IQcXC',Recycling roots raise millions from top venture firms to rescue an industry in turmoil xe2 x80 x93 TechCrunch xe2 x80 xa6
2019-11-17T10:47:10.000Z,"b'#Bitcoin 1/n Vou iniciar a pub. do Bitcoin e Blockchain no Telegram.\\n\\n\\xe2\\x80\\x9cBy 2005 or so, it will become clear that the\\xe2\\x80\\xa6 https://t.co/zeJB2SezyC'",Bitcoin 1 n Vou iniciar a pu do Bitcoin e Blockchain no Telegram n n xe2 x80 x9cBy 2005 or so it will ecome clear that the xe2 x80 xa6
