2019-11-17T16:18:02.000Z,"\"b\"\"'#Blockchain Scalability: When",Blockchain Scalaility When
2019-11-17T16:20:39.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8538.245',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8538 245
2019-11-17T16:21:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/WB6wgc4hl8',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
2019-11-17T16:21:16.000Z,b'Actualidad : Apollo Coin se asocia con la naci\xc3\xb3n de Lesotho como parte de la iniciativa Blockchain https://t.co/NYyzgvcOeN #bitcoin',Actualidad Apollo Coin se asocia con la naci xc3 x3n de Lesotho como parte de la iniciativa Blockchain itcoin
2019-11-17T16:21:44.000Z,"\"b\"\"@CNBC Just because he bought #bitcoin this year but Normal people doesn't know this and they scream if someone advi\\xe2\\x80\\xa6 https://t.co/eGzUeHmpqS\"\"\"",Just ecause he ought itcoin this year ut Normal people doesn t know this and they scream if someone advi xe2 x80 xa6
2019-11-17T16:22:03.000Z,"b\"\"\\xe2x86x93xe2x86x93xe2x86x93Splashxe2x86x93xe2x86x93xe2x86x93 eBoost Ha perso il...-24.12% nell'ultima ora $EBST #eboostcoin #btc #bitcoin #altcoins https://t.co/wvnbKkBVT3\"\"",xe2x86x93xe2x86x93xe2x86x93Splashxe2x86x93xe2x86x93xe2x86x93 eBoost Ha perso il 24 12 nell ultima ora EBST eoostcoin tc itcoin altcoins
2019-11-17T16:22:17.000Z,"b'Still time to grab 500 free apollo coins, just click the link and follow the instructions...very simple\\xe2\\x80\\xa6 https://t.co/GqkfPvtvtD'",Still time to gra 500 free apollo coins just click the link and follow the instructions very simple xe2 x80 xa6
2019-11-17T16:22:34.000Z,b'@ZenGo Could be nice to have all My ERC-20 #Shitcoins in one #Wallet \n#erc20 #DeFi #stablecoin #bitcoin #bitcoinnew\xe2\x80\xa6 https://t.co/ojpvoDQmgb',Could e nice to have all My ERC 20 Shitcoins in one Wallet n erc20 DeFi stalecoin itcoin itcoinnew xe2 x80 xa6
2019-11-17T16:22:40.000Z,b'#TRON continues to build ecosystem @WINkorg $WIN $TRX #TRX @justinsuntron @binance $BTT @BitTorrent #BTT $EOS @WSOP\xe2\x80\xa6 https://t.co/f9156Iba4p',TRON continues to uild ecosystem WIN TRX TRX BTT BTT EOS xe2 x80 xa6
2019-11-17T16:23:47.000Z,b'Digital Currencys are unstopable !!!  #ripple #XRP #Bitcoin #btc #Ether #ethereum #crypto #cryptocurrency #money\xe2\x80\xa6 https://t.co/0V1h4FQokr',Digital Currencys are unstopale ripple XRP Bitcoin tc Ether ethereum crypto cryptocurrency money xe2 x80 xa6
2019-11-17T16:23:50.000Z,b'#bitcoin/USDT for BINANCE:BTCUSDT by ROBINHOODLAB #BTCUSDT https://t.co/yzlK3ojdol https://t.co/JmwezJvyD9',itcoin USDT for BINANCE BTCUSDT y ROBINHOODLAB BTCUSDT
2019-11-17T16:23:51.000Z,"b'Perhaps Google Will Kill Bitcoin, After All https://t.co/7EG6luH8SZ @Forbes @ForbesTech @Google @Facebook #Bitcoin\\xe2\\x80\\xa6 https://t.co/s6mhrU0ihr'",Perhaps Google Will Kill Bitcoin After All Bitcoin xe2 x80 xa6
2019-11-17T16:24:08.000Z,"b'Craig Wright Could Be Real Satoshi, According to Founder of First Chinese Crypto Exchange #Bitcoin #BSV #BitcoinSV\\xe2\\x80\\xa6 https://t.co/mJBlfI8Qzv'",Craig Wright Could Be Real Satoshi According to Founder of First Chinese Crypto Exchange Bitcoin BSV BitcoinSV xe2 x80 xa6
2019-11-17T16:24:52.000Z,"b'Le 3\\xc3\\xa8me #halving de l\\xe2\\x80\\x99histoire du #Bitcoin, dans moins de six mois, r\\xc3\\xa9duira l\\xe2\\x80\\x99inflation de la principale\\xe2\\x80\\xa6 https://t.co/WWNQLsYFaj'",Le 3 xc3 xa8me halving de l xe2 x80 x99histoire du Bitcoin dans moins de six mois r xc3 xa9duira l xe2 x80 x99inflation de la principale xe2 x80 xa6
2019-11-17T16:24:59.000Z,b'\xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per #Bitcoin https://t.co/lSaa3JmSDj',xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per Bitcoin
2019-11-17T16:25:13.000Z,"b'A society that believes wealth is created through luck &amp; privilege, will eat itself @naval #bitcoin\\xe2\\x80\\xa6 https://t.co/rpDzERnFMf'",A society that elieves wealth is created through luck amp privilege will eat itself itcoin xe2 x80 xa6
2019-11-17T16:25:23.000Z,"\"b'#FelizDomingo\\n#17Nov\\n\\nLa denominaci\\xc3\\xb3n de \"\"libertad financiera\"\" da la posiblidad de crear mecanismos alternos para a\\xe2\\x80\\xa6 https://t.co/Wr6BHAqFfi'\"",FelizDomingo n 17Nov n nLa denominaci xc3 x3n de liertad financiera da la posilidad de crear mecanismos alternos para a xe2 x80 xa6
2019-11-17T16:25:32.000Z,"\"b\"\"Sooner or later",Sooner or later
2019-11-17T16:25:41.000Z,"b'#Bitcoin nears the end of the descending wedge. Huge $BTC move possible soon, global debt to hit $255 Trillion (or\\xe2\\x80\\xa6 https://t.co/IYrcqUCrRH'",Bitcoin nears the end of the descending wedge Huge BTC move possile soon gloal det to hit 255 Trillion or xe2 x80 xa6
2019-11-17T16:25:45.000Z,b'$game going off again nice 45% gain for the day.\n\n$btc #bitcoin #Crypto #cryptocurrency',game going off again nice 45 gain for the day n n tc itcoin Crypto cryptocurrency
2019-11-17T16:25:50.000Z,b'#bitcoin #bitcoinatm #BitcoinIsQueen.com https://t.co/iIlMjDtdsS',itcoin itcoinatm BitcoinIsQueen com
2019-11-17T16:26:07.000Z,b'They are talking about #XRP here that is 100% for sure!\n\n#XRPcommunity #XRPtheStandard #Coinbase #Binance #Bitmex\xe2\x80\xa6 https://t.co/qQTxxMyUI1',They are talking aout XRP here that is 100 for sure n n XRPcommunity XRPtheStandard Coinase Binance Bitmex xe2 x80 xa6
