2019-11-17T19:29:13.000Z,"b'\\xe3\\x82\\x88\\xe3\\x82\\x8a\\xe9\\x87\\x8d\\xe8\\xa6\\x81\\xe3\\x81\\xaa\\xe3\\x81\\xae\\xe3\\x81\\xaf\\xe6\\xa9\\x9f\\xe4\\xbc\\x9a\\xe6\\x90\\x8d\\xe5\\xa4\\xb1\\xe3\\x82\\x88\\xe3\\x82\\x8a\\xe3\\x82\\x82\\xe5\\xbe\\x85\\xe3\\x81\\xa4\\xe4\\xba\\x8b\\xe3\\x81\\xa0 #fx,#bitcoin'",xe3 x82 x88 xe3 x82 x8a xe9 x87 x8d xe8 xa6 x81 xe3 x81 xaa xe3 x81 xae xe3 x81 xaf xe6 xa9 x9f xe4 xc x9a xe6 x90 x8d xe5 xa4 x1 xe3 x82 x88 xe3 x82 x8a xe3 x82 x82 xe5 xe x85 xe3 x81 xa4 xe4 xa x8 xe3 x81 xa0 fx itcoin
2019-11-17T19:29:24.000Z,b'Pour vous pr\xc3\xa9f\xc3\xa9riez que Satoshi soit:\n\n#Bitcoin #crypto',Pour vous pr xc3 xa9f xc3 xa9riez que Satoshi soit n n Bitcoin crypto
2019-11-17T19:30:03.000Z,b'Money is just Legacy Technology\n\nRead post: - https://t.co/Ka6yNOcdJQ\n\n#LegacyTechnology #Blockchain #Bitcoin\xe2\x80\xa6 https://t.co/O7t48IaVDW',Money is just Legacy Technology n nRead post Blockchain Bitcoin xe2 x80 xa6
2019-11-17T19:30:04.000Z,b'One Bitcoin now worth $8540.56@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.183 Billion #bitcoin',One Bitcoin now worth 8540 56 High 8589 100 Low 8375 000 Market Cap 154 183 Billion itcoin
2019-11-17T19:30:04.000Z,b'One Bitcoin now worth $8554.252. Market Cap $154.430 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8554 252 Market Cap 154 430 Billion Based on coindesk BPI itcoin
2019-11-17T19:30:05.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 22:30:05\\n#Bitcoin: $8,627.513\\n#Ethereum: $186.313\\n#XRP: $0.268\\xe2\\x80\\xa6 https://t.co/PJgADyIhDB'",Top 5 cryptocurrencies n Alert Time 2019 11 17 22 30 05 n Bitcoin 8 627 513 n Ethereum 186 313 n XRP 0 268 xe2 x80 xa6
2019-11-17T19:30:05.000Z,b'2019/11/18 04:30\n\nBTC 930613.5\xe5\x86\x86\nETH 20142.1\xe5\x86\x86\nETC 505.7\xe5\x86\x86\nBCH 29293.2\xe5\x86\x86\nXRP 28.9\xe5\x86\x86\nXEM 4.5\xe5\x86\x86\nLSK 85.6\xe5\x86\x86\nMONA 115.5\xe5\x86\x86\xe2\x80\xa6 https://t.co/zfWaZdIj7R',2019 11 18 04 30 n nBTC 930613 5 xe5 x86 x86 nETH 20142 1 xe5 x86 x86 nETC 505 7 xe5 x86 x86 nBCH 29293 2 xe5 x86 x86 nXRP 28 9 xe5 x86 x86 nXEM 4 5 xe5 x86 x86 nLSK 85 6 xe5 x86 x86 nMONA 115 5 xe5 x86 x86 xe2 x80 xa6
2019-11-17T19:30:06.000Z,b'Watching 12/25 - directional change!\n-\n#ZS_F #SoyBeans\n-\n#Forex #BitCoin #Futures #Commodities #Markets #Trading\xe2\x80\xa6 https://t.co/vokDMP0Arw',Watching 12 25 directional change n n ZS F SoyBeans n n Forex BitCoin Futures Commodities Markets Trading xe2 x80 xa6
2019-11-17T19:30:08.000Z,b'Dump your Overly Attached Bank! https://t.co/gykVY7q789 #Bitcoin #Funny #Memes #OAG #Crypto #Ethereum #Litecoin https://t.co/LK5qIb05am',Dump your Overly Attached Bank Bitcoin Funny Memes OAG Crypto Ethereum Litecoin
2019-11-17T19:30:09.000Z,"b'#BTC: \\xe2\\x82\\xba49.071,00\\n#ETH: \\xe2\\x82\\xba1.063,91\\n#LTC:  \\xe2\\x82\\xba343,20\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 22:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/ydHNaBvh7F'",BTC xe2 x82 xa49 071 00 n ETH xe2 x82 xa1 063 91 n LTC xe2 x82 xa343 20 n XRP xe2 x82 xa1 52 n n17 11 19 22 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
