2019-11-17T00:45:19.000Z,b'#crypto price changes last 4 hours\n\n\xf0\x9f\x9a\x80\n$NPXS +50.60%\n$ENG +30.06%\n$XDN +14.74%\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$DENT -33.07%\n$FSN -14.08%\n$EDG -\xe2\x80\xa6 https://t.co/dY6DmQbD5P',crypto price changes last 4 hours n n xf0 x9f x9a x80 n NPXS 50 60 n ENG 30 06 n XDN 14 74 n n xf0 x9f x8c xa7 xef x8 x8f n DENT 33 07 n FSN 14 08 n EDG xe2 x80 xa6
2019-11-17T00:45:35.000Z,b'Is JOHN MCAFEE a shiller maybe maybe not what do you THINK.\xf0\x9f\xa4\x94\n#johnmcafee\n#bitcoin https://t.co/Rce62APFZx',Is JOHN MCAFEE a shiller maye maye not what do you THINK xf0 x9f xa4 x94 n johnmcafee n itcoin
2019-11-17T00:45:37.000Z,b'JPMorgan Automates Derivatives Margin Payments With Blockchain Tech #urbitcoinwear #bitcoin #news\nhttps://t.co/wjn9ISdcII',JPMorgan Automates Derivatives Margin Payments With Blockchain Tech uritcoinwear itcoin news
2019-11-17T00:45:54.000Z,b'@Sergio20118136 @intocryptoast @chainlinkmarket Another shit coin trying to be #bitcoin and shilled by #link influe\xe2\x80\xa6 https://t.co/V0614RJqbe',Another shit coin trying to e itcoin and shilled y link influe xe2 x80 xa6
2019-11-17T00:45:54.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8500.0 $  (+0.19 %)\n$ETH - 182.64 $  (+0.19 %)\n$XRP - 0.26 $    (+0.63 %)\xe2\x80\xa6 https://t.co/mXx260fI1O',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8500 0 0 19 n ETH 182 64 0 19 n XRP 0 26 0 63 xe2 x80 xa6
2019-11-17T00:46:30.000Z,b'Conoce estas 11 predicciones del precio de #Bitcoin para la pr\xc3\xb3xima d\xc3\xa9cada (Cripto Noticias) \n\nEl #Bitcoiner\xe2\x80\xa6 https://t.co/JOf96qvwSY',Conoce estas 11 predicciones del precio de Bitcoin para la pr xc3 x3xima d xc3 xa9cada Cripto Noticias n nEl Bitcoiner xe2 x80 xa6
2019-11-17T00:47:09.000Z,b'Ok is now or never #Bitcoin \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x8c\x95\xf0\x9f\x8c\x95\xf0\x9f\x8c\x95',Ok is now or never Bitcoin xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x8c x95 xf0 x9f x8c x95 xf0 x9f x8c x95
2019-11-17T00:47:13.000Z,b'More cryptocurrency regulations in 2020?\n\nhttps://t.co/CSAbz9Spdf\n\n#cryptocurrency #cryptocurrencies #Blockchain #bitcoin',More cryptocurrency regulations in 2020 n nhttps cryptocurrencies Blockchain itcoin
2019-11-17T00:47:23.000Z,b'EASY Work From Home \xf0\x9f\x91\x89 Get PAID In BITCOIN\xe2\x80\xbc\xef\xb8\x8f\nLearn More \xf0\x9f\x91\x89 https://t.co/aYSbp2z9zV\n\n#forex #forextrading\xe2\x80\xa6 https://t.co/1yhIwmAmXA',EASY Work From Home xf0 x9f x91 x89 Get PAID In BITCOIN xe2 x80 xc xef x8 x8f nLearn More xf0 x9f x91 x89 forextrading xe2 x80 xa6
2019-11-17T00:47:31.000Z,b'Standard Deviation &amp; Standard Error Linear Regression Channel https://t.co/56oLmHSmB3 #prorealtime #trading\xe2\x80\xa6 https://t.co/q5La4CWqXE',Standard Deviation amp Standard Error Linear Regression Channel prorealtime trading xe2 x80 xa6
2019-11-17T00:47:48.000Z,b'Greetings from beautiful Monaco \xf0\x9f\x98\x8e\n\nStart trading with GalaxyTrading\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\xf0\x9f\x92\x8e\nhttps://t.co/dB1TnnnFXS\n\n#Monaco #trip\xe2\x80\xa6 https://t.co/G3YCJUMe2a',Greetings from eautiful Monaco xf0 x9f x98 x8e n nStart trading with GalaxyTrading xf0 x9f x92 x8e xf0 x9f x92 x8e xf0 x9f x92 x8e nhttps trip xe2 x80 xa6
2019-11-17T00:47:49.000Z,b'@Claire_Harris82 @gp_pulipaka @HiveNetCloud @MikeQuindazzi @cybersec_feeds @wynandbooysen @ipfconline1 @Microsoft\xe2\x80\xa6 https://t.co/gvMVnDwwL8',xe2 x80 xa6
2019-11-17T00:48:03.000Z,"b'As of November 17, 2019 at 07:48AM, 1 BTC equals 119358824 IDR. #bitcoin #bitcoinprice #bitcointoidr #bitcoinindonesia'",As of Novemer 17 2019 at 07 48AM 1 BTC equals 119358824 IDR itcoin itcoinprice itcointoidr itcoinindonesia
2019-11-17T00:48:05.000Z,b'Burn baby burn! Central Bank(counterfeiters) is on fire!!!!! #bitcoin  https://t.co/UCSbegFKj7',Burn ay urn Central Bank counterfeiters is on fire itcoin
2019-11-17T00:48:28.000Z,b'Presidential Hopeful @AndrewYang #AndrewYang Plans to Regulate #Crypto #Industry https://t.co/WG2BAJnF6i via\xe2\x80\xa6 https://t.co/efbnuPdydX',Presidential Hopeful AndrewYang Plans to Regulate Crypto Industry via xe2 x80 xa6
2019-11-17T00:48:40.000Z,b'#chucknorris #bitcoin https://t.co/DeEqlssik2',chucknorris itcoin
2019-11-17T00:49:15.000Z,b'What is #Bitcoin?  The Art of Individualization',What is Bitcoin The Art of Individualization
2019-11-17T00:49:21.000Z,b'Litecoin Scrypt mining contract 100Mhs /24 hour https://t.co/g8gw18yjqN #bitcoin #crypto #antminer #bitmain',Litecoin Scrypt mining contract 100Mhs 24 hour itcoin crypto antminer itmain
2019-11-17T00:49:37.000Z,"b'Gentle reminder of the 1st ever #Bitcoin, #Cryptocurrency and #Blockchain #DLT monthly #meetup for the general\\xe2\\x80\\xa6 https://t.co/ryr6I4vkGv'",Gentle reminder of the 1st ever Bitcoin Cryptocurrency and Blockchain DLT monthly meetup for the general xe2 x80 xa6
2019-11-17T00:49:38.000Z,b'Buy some bitcoins at your local convenience store! Spotted at Nisa #bitcoin https://t.co/N6zVWvoT8b',Buy some itcoins at your local convenience store Spotted at Nisa itcoin
2019-11-17T00:50:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 03:50:02\\n#Bitcoin: $8,554.161\\n#Ethereum: $183.397\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/yZozEAn2BG'",Top 5 cryptocurrencies n Alert Time 2019 11 17 03 50 02 n Bitcoin 8 554 161 n Ethereum 183 397 n XRP 0 264 xe2 x80 xa6
2019-11-17T00:50:03.000Z,"b'$LINK All Targets hit! 18% profit \\xf0\\x9f\\x94\\xa5\\n\\nFor Free signals,Join; https://t.co/1pJ062NDaG\\n   \\n$BTC $ETH $XRP $LINK $LTC\\xe2\\x80\\xa6 https://t.co/0qFT3HNqlu'",LINK All Targets hit 18 profit xf0 x9f x94 xa5 n nFor Free signals Join n BTC ETH XRP LINK LTC xe2 x80 xa6
2019-11-17T00:50:23.000Z,b'Modern problems #btc #bitcoin #crypto #ieo #xrp #ethereum #cryptocurrency #blockchain https://t.co/3zJhXk6HT5',Modern prolems tc itcoin crypto ieo xrp ethereum cryptocurrency lockchain
