2019-11-17T01:14:21.000Z,b'@BinanceAmerica @binance #Bitcoin',Bitcoin
2019-11-17T01:19:57.000Z,"b'No pienso mucho del hombre, que no sea m\\xc3\\xa1s sabio hoy de lo que fue ayer.\\nAbraham Lincoln \\xf0\\x9f\\x91\\x8f\\n\\nGente de #Venezuela no\\xe2\\x80\\xa6 https://t.co/Dja40YBwFp'",No pienso mucho del homre que no sea m xc3 xa1s saio hoy de lo que fue ayer nAraham Lincoln xf0 x9f x91 x8f n nGente de Venezuela no xe2 x80 xa6
2019-11-17T01:20:02.000Z,"b'#Opini\\xc3\\xb3n Las #tecnolog\\xc3\\xadas no cambian al hombre \\xe2\\x80\\x94o al menos no lo hacen por arte de magia\\xe2\\x80\\x94, sino m\\xc3\\xa1s bien son aquell\\xe2\\x80\\xa6 https://t.co/I2TfB2EvDH'",Opini xc3 x3n Las tecnolog xc3 xadas no camian al homre xe2 x80 x94o al menos no lo hacen por arte de magia xe2 x80 x94 sino m xc3 xa1s ien son aquell xe2 x80 xa6
2019-11-17T01:20:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 04:20:02\\n#Bitcoin: $8,554.285\\n#Ethereum: $183.514\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/EI4XejaRay'",Top 5 cryptocurrencies n Alert Time 2019 11 17 04 20 02 n Bitcoin 8 554 285 n Ethereum 183 514 n XRP 0 264 xe2 x80 xa6
2019-11-17T01:20:25.000Z,b'Order your secure and smart BTC/ETH/Altcoin hardware wallet - Only 94.80 EUR https://t.co/WC9nt6QCb7 #bitcoin #btc\xe2\x80\xa6 https://t.co/pyAYFxRNnO',Order your secure and smart BTC ETH Altcoin hardware wallet Only 94 80 EUR itcoin tc xe2 x80 xa6
2019-11-17T01:20:31.000Z,"b'Start earn bitcoin with PTC system, get bitcoins just for simple clicks https://t.co/BCqnlEROz1 #adsbitcoin\\xe2\\x80\\xa6 https://t.co/S7ZpxzO56Y'",Start earn itcoin with PTC system get itcoins just for simple clicks adsitcoin xe2 x80 xa6
2019-11-17T01:20:39.000Z,b'#SPX500USD \n#USDTRY #EURUSD #GBPUSD  #USDJPY #GOLD #Bitcoin #BTC \n#forex #forexsignal #forextrading \n#commodity\xe2\x80\xa6 https://t.co/BTBWYlBnnQ',SPX500USD n USDTRY EURUSD GBPUSD USDJPY GOLD Bitcoin BTC n forex forexsignal forextrading n commodity xe2 x80 xa6
2019-11-17T01:20:40.000Z,b'JP\xe3\x83\xa2\xe3\x83\xab\xe3\x82\xac\xe3\x83\xb3\xe3\x80\x81\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3\xe3\x81\xa7\xe3\x83\x87\xe3\x83\xaa\xe3\x83\x90\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x96\xe5\x8f\x96\xe5\xbc\x95\xe6\x99\x82\xe3\x81\xae\xe6\x8b\x85\xe4\xbf\x9d\xe9\x80\x81\xe9\x87\x91\xe3\x82\x92\xe9\xab\x98\xe9\x80\x9f\xe5\x8c\x96 #cryptocurrency #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #bitcoin #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #blockchain #\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3 https://t.co/W6LNLCuDRq',JP xe3 x83 xa2 xe3 x83 xa xe3 x82 xac xe3 x83 x3 xe3 x80 x81 xe3 x83 x96 xe3 x83 xad xe3 x83 x83 xe3 x82 xaf xe3 x83 x81 xe3 x82 xa7 xe3 x83 xc xe3 x83 x3 xe3 x81 xa7 xe3 x83 x87 xe3 x83 xaa xe3 x83 x90 xe3 x83 x86 xe3 x82 xa3 xe3 x83 x96 xe5 x8f x96 xe5 xc x95 xe6 x99 x82 xe3 x81 xae xe6 x8 x85 xe4 xf x9d xe9 x80 x81 xe9 x87 x91 xe3 x82 x92 xe9 xa x98 xe9 x80 x9f xe5 x8c x96 cryptocurrency xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 itcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 lockchain xe3 x83 x96 xe3 x83 xad xe3 x83 x83 xe3 x82 xaf xe3 x83 x81 xe3 x82 xa7 xe3 x83 xc xe3 x83 x3
2019-11-17T01:20:56.000Z,b'What a time to be on the flight that way planning on selling #bitcoin \xf0\x9f\x98\x95 https://t.co/EpVhBm3YWh',What a time to e on the flight that way planning on selling itcoin xf0 x9f x98 x95
2019-11-17T01:21:02.000Z,b'#Bitcoin is #Liberating',Bitcoin is Lierating
2019-11-17T01:21:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/kTbXnwlXrh',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
