2019-11-17T01:05:38.000Z,b'@beinlibertarian #Bitcoin ?',Bitcoin
2019-11-17T01:10:03.000Z,"b'$LINK All Targets hit! 18% profit \\xf0\\x9f\\x94\\xa5\\n\\nFor Free signals,Join; https://t.co/2oSB3wRPOW\\n   \\n$BTC $ETH $XRP $LINK $LTC\\xe2\\x80\\xa6 https://t.co/wE4NiTFX73'",LINK All Targets hit 18 profit xf0 x9f x94 xa5 n nFor Free signals Join n BTC ETH XRP LINK LTC xe2 x80 xa6
2019-11-17T01:10:04.000Z,b'#Railway workers caught mining #Bitcoin with state electricity in Ukraine\nhttps://t.co/jFq1H7F9VC',Railway workers caught mining Bitcoin with state electricity in Ukraine
2019-11-17T01:10:06.000Z,"b'Bitcoin BTC Current Price:\\n$8,564.15\\n1 Hour: 0.16 % | 24 Hours: 0.83 % | 7 Days: -2.99 %\\n#btc #bitcoin'",Bitcoin BTC Current Price n 8 564 15 n1 Hour 0 16 24 Hours 0 83 7 Days 2 99 n tc itcoin
2019-11-17T01:10:46.000Z,b'1 BTC Price: Bitstamp 8486.39 USD Coinbase  USD #btc #bitcoin 2019-11-16 20:10 https://t.co/KrZVPOdxce',1 BTC Price Bitstamp 8486 39 USD Coinase USD tc itcoin 2019 11 16 20 10
2019-11-17T01:11:14.000Z,b'@codeyisfun Anytime #bitcoin continues to go in a downward trend. Expect the unexpected #takeoff',Anytime itcoin continues to go in a downward trend Expect the unexpected takeoff
2019-11-17T01:11:47.000Z,b'@SatoshiUNOLucas #bitcoin',itcoin
2019-11-17T01:11:54.000Z,b'Is #Bitcoin Stuck In A Bearish Trend? https://t.co/jp8kq2vWGW',Is Bitcoin Stuck In A Bearish Trend
2019-11-17T01:12:26.000Z,b'#EMJ #IEO #Crypto #Blockchain  #ethereum #bitcoin #ether  #cryptocurrency #tokensale https://t.co/OdYZaSFeaC https://t.co/EEeZJXWgH2',EMJ IEO Crypto Blockchain ethereum itcoin ether cryptocurrency tokensale
2019-11-17T01:12:37.000Z,b'\xe6\x88\x91\xe3\x80\x85\xe3\x81\xaf\xe9\x81\x8b\xe7\x94\xa8\xe3\x81\xa8\xe6\x8a\x95\xe6\xa9\x9f\xe3\x81\xae\xe3\x83\x97\xe3\x83\xad\xe3\x83\x95\xe3\x82\xa7\xe3\x83\x83\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\x8a\xe3\x83\xab\xe3\x81\xaa\xe3\x82\x8a\xe3\x80\x82\n\xe6\xb1\xba\xe3\x81\x97\xe3\x81\xa6\xe6\x90\x8d\xe3\x81\xaf\xe3\x81\x95\xe3\x81\x9b\xe3\x81\xaa\xe3\x81\x84\xe3\x80\x82\xe3\x80\x80#bitcoin',xe6 x88 x91 xe3 x80 x85 xe3 x81 xaf xe9 x81 x8 xe7 x94 xa8 xe3 x81 xa8 xe6 x8a x95 xe6 xa9 x9f xe3 x81 xae xe3 x83 x97 xe3 x83 xad xe3 x83 x95 xe3 x82 xa7 xe3 x83 x83 xe3 x82 x7 xe3 x83 xa7 xe3 x83 x8a xe3 x83 xa xe3 x81 xaa xe3 x82 x8a xe3 x80 x82 n xe6 x1 xa xe3 x81 x97 xe3 x81 xa6 xe6 x90 x8d xe3 x81 xaf xe3 x81 x95 xe3 x81 x9 xe3 x81 xaa xe3 x81 x84 xe3 x80 x82 xe3 x80 x80 itcoin
2019-11-17T01:12:51.000Z,b'Poll\xf0\x9f\x94\x8aWhat is the most likely outcome for #Bitcoin going into the end of the year??? \n\n- $BTC #crypto #cryptotwitter #BTC #cryptocurrencies',Poll xf0 x9f x94 x8aWhat is the most likely outcome for Bitcoin going into the end of the year n n BTC crypto cryptotwitter BTC cryptocurrencies
2019-11-17T01:12:53.000Z,"b'At Cryptosilv, we are keeping it simple...\\n\\nCryptosilv\\n#silveretblack #cryptosilv\\n#lessonlearned\\n#bitcoin\\xe2\\x80\\xa6 https://t.co/OMIPP5BDZ7'",At Cryptosilv we are keeping it simple n nCryptosilv n silveretlack cryptosilv n lessonlearned n itcoin xe2 x80 xa6
2019-11-17T01:12:53.000Z,"\"b\"\"New to #BITCOIN",New to BITCOIN
2019-11-17T01:12:54.000Z,b'#cryptocurrency #Live #TradeData #blockchain #bitcoin  #altcoins #exchange #Giveaway  #hexcrypto #CryptoNews\xe2\x80\xa6 https://t.co/NqphXUI6z1',cryptocurrency Live TradeData lockchain itcoin altcoins exchange Giveaway hexcrypto CryptoNews xe2 x80 xa6
2019-11-17T01:13:08.000Z,b'Old but I will never get tired of it\n\n\xf0\x9f\x91\x89 https://t.co/KrpY5l5IcH \xf0\x9f\x91\x80\n\nClick now to Join the Elixium Trading Group \xe2\x9c\x85\xe2\x80\xa6 https://t.co/MosnuFHLQ0',Old ut I will never get tired of it n n xf0 x9f x91 x89 xf0 x9f x91 x80 n nClick now to Join the Elixium Trading Group xe2 x9c x85 xe2 x80 xa6
2019-11-17T01:13:14.000Z,"b'O valor m\\xc3\\xa9dio das criptomoedas \\xc3\\xa9:\\n Bitcoin(BTC) R$ 35631,70 \\n Litecoin(LTC) R$ 243,56 \\n Bitcoin Cash(BCH) R$ 1112,3\\xe2\\x80\\xa6 https://t.co/YVM6EZ8LIG'",O valor m xc3 xa9dio das criptomoedas xc3 xa9 n Bitcoin BTC R 35631 70 n Litecoin LTC R 243 56 n Bitcoin Cash BCH R 1112 3 xe2 x80 xa6
2019-11-17T01:13:19.000Z,"b'Un appartement luxueux new-yorkais vendu pour 15,3 millions de dollars en Bitcoin #bitcoin #ethereum #blockchain\\xe2\\x80\\xa6 https://t.co/Xu2Bpawq3h'",Un appartement luxueux new yorkais vendu pour 15 3 millions de dollars en Bitcoin itcoin ethereum lockchain xe2 x80 xa6
2019-11-17T01:13:29.000Z,b'Bitcoin Cash Hard Fork Sees Miners \xe2\x80\x98Waste\xe2\x80\x99 Money on 14 Invalid Blocks\n#Bitcoin #Crypto #Cryptocurrency #October1st\xe2\x80\xa6 https://t.co/mwhqFDqEMw',Bitcoin Cash Hard Fork Sees Miners xe2 x80 x98Waste xe2 x80 x99 Money on 14 Invalid Blocks n Bitcoin Crypto Cryptocurrency Octoer1st xe2 x80 xa6
2019-11-17T01:14:16.000Z,b'\xf0\x9f\x92\xb0 Crypto related domains for sale \xf0\x9f\x92\xb0 \n\nList your #crypto domains with price info - #bin #requestprice etc\n\n#btc\xe2\x80\xa6 https://t.co/dZZ88LEujr',xf0 x9f x92 x0 Crypto related domains for sale xf0 x9f x92 x0 n nList your crypto domains with price info in requestprice etc n n tc xe2 x80 xa6
