2019-11-17T08:22:18.000Z,"b'Lazy men and unrisk men call the rich men ritualist, while unlucky girls call the lucky ones Prostitute.\\n\\nNever mis\\xe2\\x80\\xa6 https://t.co/21VR6UXBiw'",Lazy men and unrisk men call the rich men ritualist while unlucky girls call the lucky ones Prostitute n nNever mis xe2 x80 xa6
2019-11-17T08:22:26.000Z,"b'\\xf0\\x9f\\x86\\x95 Market Update NOV 17th - #Bitcoin, Crypto, #Finance &amp; Global News\\n\\n#CryptocurrencyNews \\xf0\\x9f\\x91\\x89 Bitcoin, ethereum &amp; altc\\xe2\\x80\\xa6 https://t.co/5wXrlBPb5J'",xf0 x9f x86 x95 Market Update NOV 17th Bitcoin Crypto Finance amp Gloal News n n CryptocurrencyNews xf0 x9f x91 x89 Bitcoin ethereum amp altc xe2 x80 xa6
2019-11-17T08:22:34.000Z,b'#bitcoin\n\nSupport tapped.\n\nI assume many patient bids were filled. https://t.co/fVmzyPhGee',itcoin n nSupport tapped n nI assume many patient ids were filled
2019-11-17T08:23:12.000Z,b'\xe3\x82\x82\xe3\x81\x97\xe3\x81\x8b\xe3\x81\x97\xe3\x81\xa6\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8a\xe3\x82\x82\xe3\x81\xa1\xe3\x82\x83\xe3\x81\xa0\xe3\x81\xa8\xe6\x80\x9d\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\xbe\xe3\x81\x9b\xe3\x82\x93\xef\xbc\x9f\xe3\x80\x80\xef\xbc\x83Bitcoin https://t.co/ANyBJztzKr',xe3 x82 x82 xe3 x81 x97 xe3 x81 x8 xe3 x81 x97 xe3 x81 xa6 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x81 xa3 xe3 x81 xa6 xe3 x81 x8a xe3 x82 x82 xe3 x81 xa1 xe3 x82 x83 xe3 x81 xa0 xe3 x81 xa8 xe6 x80 x9d xe3 x81 xa3 xe3 x81 xa6 xe3 x81 xe xe3 x81 x9 xe3 x82 x93 xef xc x9f xe3 x80 x80 xef xc x83Bitcoin
2019-11-17T08:23:22.000Z,b'@coindesk @extstock @ChairmanHeath @christine_dkim @ethereum Great Project  #cryptocurrency #bitcoin',Great Project cryptocurrency itcoin
2019-11-17T08:23:27.000Z,b'@extstock @dcs_token Great Project  #cryptocurrency #bitcoin',Great Project cryptocurrency itcoin
2019-11-17T08:23:37.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T08:23:48.000Z,b'@coindesk @extstock @ChairmanHeath @christine_dkim @ethereum #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T08:24:02.000Z,b'Going up signal on a 1 hour chart! $BTC price: 8479.0 BTC/USD (2019/11/17 17:18:47) #bitcoin #btc #bch #xrp #eth\xe2\x80\xa6 https://t.co/Ut9d4M1KhD',Going up signal on a 1 hour chart BTC price 8479 0 BTC USD 2019 11 17 17 18 47 itcoin tc ch xrp eth xe2 x80 xa6
2019-11-17T08:24:03.000Z,b'3 Things Stopping Bitcoin From Returning to $20k https://t.co/ZPHBrZdmsg #Bitcoin #News #Newsteaser https://t.co/Dkm54oSvIg',3 Things Stopping Bitcoin From Returning to 20k Bitcoin News Newsteaser
