2019-11-17T10:27:22.000Z,"b'Wow incre\\xc3\\xadble, coincido con @lukechilds en que la funcionalidad de wallet debe estar separada del NODO, espero el\\xe2\\x80\\xa6 https://t.co/GJKI1DjyPY'",Wow incre xc3 xadle coincido con en que la funcionalidad de wallet dee estar separada del NODO espero el xe2 x80 xa6
2019-11-17T10:27:40.000Z,b'@bit_gossip 22 kas\xc4\xb1mda bitcoin zorlu\xc4\x9fu artacak ondan m\xc4\xb1?\ngecen senelerde de \xc3\xa7in fudu yapm\xc4\xb1\xc5\x9flard\xc4\xb1 sonras\xc4\xb1 ATH\n\nsen\xe2\x80\xa6 https://t.co/cn0vgyzM0O',22 kas xc4 x1mda itcoin zorlu xc4 x9fu artacak ondan m xc4 x1 ngecen senelerde de xc3 xa7in fudu yapm xc4 x1 xc5 x9flard xc4 x1 sonras xc4 x1 ATH n nsen xe2 x80 xa6
2019-11-17T10:28:24.000Z,"\"b\"\"Lebanon Banks' Shutdown Is \\xe2\\x80\\x98Most Potent Case\\xe2\\x80\\x99 for Crypto: Nassim Taleb #bitcoin https://t.co/8nI93RSluA\"\"\"",Leanon Banks Shutdown Is xe2 x80 x98Most Potent Case xe2 x80 x99 for Crypto Nassim Tale itcoin
2019-11-17T10:28:32.000Z,b'#Bitcoin Weekly Forecast: #BTC Price Turned Sell On Rallies\n\nhttps://t.co/ObMmiqXaSR',Bitcoin Weekly Forecast BTC Price Turned Sell On Rallies n
2019-11-17T10:28:48.000Z,b'Salamat sa iyo. Mangyaring.\n32yyeXCAqrxbKMvSDP9ymib64wJfB8GUbe\n\n#Bitcoin',Salamat sa iyo Mangyaring n32yyeXCAqrxKMvSDP9ymi64wJfB8GUe n n Bitcoin
2019-11-17T10:29:07.000Z,"b'\\xe2\\x8f\\xb0 13:29:07 #Piyasa #D\\xc3\\xb6viz\\n\\xe2\\x96\\xac USD: 5,7453 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR: 6,3498 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac GBP: 7,4139 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR/USD: 1,1052 $\\n\\xe2\\x96\\xb2 Bitcoin: 8.569,0 $\\xe2\\x80\\xa6 https://t.co/dUka2PWw7x'",xe2 x8f x0 13 29 07 Piyasa D xc3 x6viz n xe2 x96 xac USD 5 7453 xe2 x82 xa n xe2 x96 xac EUR 6 3498 xe2 x82 xa n xe2 x96 xac GBP 7 4139 xe2 x82 xa n xe2 x96 xac EUR USD 1 1052 n xe2 x96 x2 Bitcoin 8 569 0 xe2 x80 xa6
2019-11-17T10:29:14.000Z,b'I really don\xe2\x80\x99t like price prediction especially on $BTC but this one deserves to be pay attention to...\n#Bitcoin\xe2\x80\xa6 https://t.co/g2epTi6fJo',I really don xe2 x80 x99t like price prediction especially on BTC ut this one deserves to e pay attention to n Bitcoin xe2 x80 xa6
2019-11-17T10:29:16.000Z,"b'\\xe5\\x8b\\x9d\\xe3\\x81\\xa3\\xe3\\x81\\xa6\\xe5\\x85\\x9c\\xe3\\x81\\xae\\xe7\\xb7\\x92\\xe3\\x82\\x92\\xe7\\xb7\\xa0\\xe3\\x82\\x81\\xe3\\x82\\x8b #fx,#bitcoin'",xe5 x8 x9d xe3 x81 xa3 xe3 x81 xa6 xe5 x85 x9c xe3 x81 xae xe7 x7 x92 xe3 x82 x92 xe7 x7 xa0 xe3 x82 x81 xe3 x82 x8 fx itcoin
2019-11-17T10:29:17.000Z,b'@USATODAY When your $100 turn into $1000 what will you do ...\nFriend no time to waste inbox now to start your inves\xe2\x80\xa6 https://t.co/BHki6zTOZ0',When your 100 turn into 1000 what will you do nFriend no time to waste inox now to start your inves xe2 x80 xa6
2019-11-17T10:29:23.000Z,b'Canadian Company Commissions 3 #Bitcoin Mining Units to Restart Oil Well #Btc #Cryptocurrency #finance #forex\xe2\x80\xa6 https://t.co/BfXi0Xz82L',Canadian Company Commissions 3 Bitcoin Mining Units to Restart Oil Well Btc Cryptocurrency finance forex xe2 x80 xa6
2019-11-17T10:30:00.000Z,b'Stablecoins \xe2\x80\x98Pose Risk to Financial Stability\xe2\x80\x99 Warns Federal Reserve #digitalcurrency #donaldtrump #bitcoin\xe2\x80\xa6 https://t.co/sfNZjLxDvS',Stalecoins xe2 x80 x98Pose Risk to Financial Staility xe2 x80 x99 Warns Federal Reserve digitalcurrency donaldtrump itcoin xe2 x80 xa6
2019-11-17T10:30:03.000Z,b'One Bitcoin now worth $8549.727. Market Cap $154.342 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8549 727 Market Cap 154 342 Billion Based on coindesk BPI itcoin
2019-11-17T10:30:04.000Z,b'Easy way to buy cryptos! \xf0\x9f\x98\x87\xf0\x9f\x98\x89 https://t.co/ro95nCABdP\n\n#bitcoin #coinbase #cryptocurrency #blockchain #ethereum #ico\xe2\x80\xa6 https://t.co/4jR8wiVMMe',Easy way to uy cryptos xf0 x9f x98 x87 xf0 x9f x98 x89 coinase cryptocurrency lockchain ethereum ico xe2 x80 xa6
2019-11-17T10:30:04.000Z,b'2019/11/17 19:30\n\nBTC 929375.5\xe5\x86\x86\nETH 19978\xe5\x86\x86\nETC 507.4\xe5\x86\x86\nBCH 28941.3\xe5\x86\x86\nXRP 28.6\xe5\x86\x86\nXEM 4.5\xe5\x86\x86\nLSK 85.9\xe5\x86\x86\nMONA 115.5\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/9j3RvG5Rc9',2019 11 17 19 30 n nBTC 929375 5 xe5 x86 x86 nETH 19978 xe5 x86 x86 nETC 507 4 xe5 x86 x86 nBCH 28941 3 xe5 x86 x86 nXRP 28 6 xe5 x86 x86 nXEM 4 5 xe5 x86 x86 nLSK 85 9 xe5 x86 x86 nMONA 115 5 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T10:30:04.000Z,b'One Bitcoin now worth $8533.64@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.051 Billion #bitcoin',One Bitcoin now worth 8533 64 High 8589 100 Low 8375 000 Market Cap 154 051 Billion itcoin
2019-11-17T10:30:05.000Z,"b'Buy and Sell Bitcoin, Ethereum, and other Cryptocurrency #CryptoCurrency #blockchain #bitcoin via\\xe2\\x80\\xa6 https://t.co/SENEx3zFD3'",Buy and Sell Bitcoin Ethereum and other Cryptocurrency CryptoCurrency lockchain itcoin via xe2 x80 xa6
2019-11-17T10:30:08.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 13:30:07\\n#Bitcoin: $8,598.976\\n#Ethereum: $184.689\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/5fAMUaUNny'",Top 5 cryptocurrencies n Alert Time 2019 11 17 13 30 07 n Bitcoin 8 598 976 n Ethereum 184 689 n XRP 0 265 xe2 x80 xa6
2019-11-17T10:30:09.000Z,"b'#BTC: \\xe2\\x82\\xba49.091,00\\n#ETH: \\xe2\\x82\\xba1.054,18\\n#LTC:  \\xe2\\x82\\xba341,58\\n#XRP: \\xe2\\x82\\xba1,51\\n\\n17.11.19 - 13:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/IifhbqSPc7'",BTC xe2 x82 xa49 091 00 n ETH xe2 x82 xa1 054 18 n LTC xe2 x82 xa341 58 n XRP xe2 x82 xa1 51 n n17 11 19 13 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T10:30:09.000Z,"b'Nov 17, 2019 10:29:00 UTC | 8,549.70$ | 7,736.40\\xe2\\x82\\xac | 6,623.80\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/TnsSW4cZmp'",Nov 17 2019 10 29 00 UTC 8 549 70 7 736 40 xe2 x82 xac 6 623 80 xc2 xa3 Bitcoin BTC BTC crypto financial news
