2019-11-17T11:00:07.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #tron\n3. #ethereum\n4. #xrp\n5. #ardor\n6. #litecoin\n7. #nem\n8\xe2\x80\xa6 https://t.co/cDl5EE5SSR',TOP 12 most mentioned crypto this hour n1 itcoin n2 tron n3 ethereum n4 xrp n5 ardor n6 litecoin n7 nem n8 xe2 x80 xa6
2019-11-17T11:00:09.000Z,"b'Nov 17, 2019 11:00:00 UTC | 8,539.30$ | 7,727.00\\xe2\\x82\\xac | 6,615.80\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/XjeIRkhFHX'",Nov 17 2019 11 00 00 UTC 8 539 30 7 727 00 xe2 x82 xac 6 615 80 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T11:00:12.000Z,"b'Top 100 avg 24h return: 0.6\\xc2\\xb13.6%; 68 up, 32 down\\n$BTC 0.6%  $ETH 1.0%\\nBest:\\n19.5% $SNX @synthetix_io\\n13.4% $CENNZ\\xe2\\x80\\xa6 https://t.co/UPtn9Oyy8Y'",Top 100 avg 24h return 0 6 xc2 x13 6 68 up 32 down n BTC 0 6 ETH 1 0 nBest n19 5 SNX n13 4 CENNZ xe2 x80 xa6
2019-11-17T11:00:13.000Z,"b'Nov 17, 2019 03:00AM #Bitcoin Price:\\nUSD 8638.50 | EUR 7683.89 | JPY 923562.61'",Nov 17 2019 03 00AM Bitcoin Price nUSD 8638 50 EUR 7683 89 JPY 923562 61
2019-11-17T11:00:16.000Z,"b'Libra Testnet Has Registered More Than 51,000 Transactions Since September https://t.co/ZLmQvy95iO\\n\\n#cryptocurrency\\xe2\\x80\\xa6 https://t.co/CX3c4jCARL'",Lira Testnet Has Registered More Than 51 000 Transactions Since Septemer
2019-11-17T11:00:17.000Z,b'We are proud to announce the listing of Horizen @horizenglobal on @AtomarsExchange on 19/11/19. ZEN deposits &amp; trad\xe2\x80\xa6 https://t.co/jeaRl7daz4',We are proud to announce the listing of Horizen on on 19 11 19 ZEN deposits amp trad xe2 x80 xa6
2019-11-17T11:00:18.000Z,b'Free Bitcoins - Earn $65 free btc in 5 minutes https://t.co/iFDqWzcNrS #bitcoin #freebtc #getbtc',Free Bitcoins Earn 65 free tc in 5 minutes itcoin freetc gettc
2019-11-17T11:00:22.000Z,b'The total number of Bitcoin ATMs in the world has exceeded 6000 \xf0\x9f\x91\x80\n\nGlobal adoption is coming!\n\n#Bitcoin #BTC\xe2\x80\xa6 https://t.co/uJ5lrVSSNh',The total numer of Bitcoin ATMs in the world has exceeded 6000 xf0 x9f x91 x80 n nGloal adoption is coming n n Bitcoin BTC xe2 x80 xa6
2019-11-17T11:00:26.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/s19TAakYqb',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T11:00:27.000Z,"\"b\"\"Metal is Money. REQUEST YOUR FREE INVESTOR'S KIT #Bitcoin #ETH #ethereum #Ripple #cryptocurrency #News #Price\\xe2\\x80\\xa6 https://t.co/yhCZkjA3Zl\"\"\"",Metal is Money REQUEST YOUR FREE INVESTOR S KIT Bitcoin ETH ethereum Ripple cryptocurrency News Price xe2 x80 xa6
2019-11-17T11:00:28.000Z,b'#bitcoin Earn FREE bitcoin with this easy strategy \xe2\x96\xb6 https://t.co/K41USsQ7H8 https://t.co/T9Up9bEwkJ',itcoin Earn FREE itcoin with this easy strategy xe2 x96 x6
2019-11-17T11:00:30.000Z,b'BTC hourly update\n$8543.40    |    -0.0006%\xf0\x9f\x93\x89\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8543 40 0 0006 xf0 x9f x93 x89 n BTC BTCUSD Bitcoin
2019-11-17T11:00:35.000Z,"\"b\"\"#computerart : #bitcoin #blockchain 's\\nLAST Block",computerart itcoin lockchain s nLAST Block
2019-11-17T11:00:42.000Z,"b'@SuhaibSaqib1 I wish freedom to the people of Iran, they deserve it. Now they need #bitcoin'",I wish freedom to the people of Iran they deserve it Now they need itcoin
2019-11-17T11:00:43.000Z,b'@extstock @dcs_token \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\n#cryptocurrency #bitcoin',xf0 x9f x91 x8d xf0 x9f x91 x8d xf0 x9f x91 x8d n cryptocurrency itcoin
