2019-11-17T04:58:27.000Z,b'\xf0\x9f\x98\xb1$200.000 reward pool is here \n\n#bitcoin #blockchain #emirex\n\nRegister here\xf0\x9f\x91\x89 https://t.co/s5X1Mrdun4\n\n\xe2\x9c\x85 Bind 2FA /\xe2\x80\xa6 https://t.co/8dA5kN9SWb',xf0 x9f x98 x1 200 000 reward pool is here n n itcoin lockchain emirex n nRegister here xf0 x9f x91 x89 Bind 2FA xe2 x80 xa6
2019-11-17T04:58:28.000Z,"\"b\"\"The first text message was sent in 1992 from Neil Papworth. Mobile phones didn't have keyboards at the time",The first text message was sent in 1992 from Neil Papworth Moile phones didn t have keyoards at the time
2019-11-17T04:59:56.000Z,"\"b'HSA #FineLine \\n@hestylesar Tweeted:\\n\\n\"\"MY BROTHERS\"\"\\n\\n #HarryOnSNL  \\n\\nhttps://t.co/31npOhdw6I https://t.co/L5KP0RaD2I\\xe2\\x80\\xa6 https://t.co/QAuY3iM0jm'\"",HSA FineLine n Tweeted n n MY BROTHERS n n HarryOnSNL n nhttps
2019-11-17T05:00:00.000Z,b'#USD #bitcoin Index:\n  11810 satoshi\xe2\x80\x99s = $1\n  #btc: $8467.4',USD itcoin Index n 11810 satoshi xe2 x80 x99s 1 n tc 8467 4
2019-11-17T05:00:00.000Z,b'An anonymous organization dubbed \xe2\x80\x9cUnknown Fund\xe2\x80\x9d is planning to give away $75 million in Bitcoin (BTC) to startups t\xe2\x80\xa6 https://t.co/fVUv2b9dyX',An anonymous organization dued xe2 x80 x9cUnknown Fund xe2 x80 x9d is planning to give away 75 million in Bitcoin BTC to startups t xe2 x80 xa6
2019-11-17T05:00:01.000Z,"b'Binance CEO: Race Towards Bitcoin (BTC) and Crypto Adoption Underway\\n\\nChangpeng \\xe2\\x80\\x9cCZ\\xe2\\x80\\x9d Zhao, the CEO of Binance, a le\\xe2\\x80\\xa6 https://t.co/HN1yPNoBdI'",Binance CEO Race Towards Bitcoin BTC and Crypto Adoption Underway n nChangpeng xe2 x80 x9cCZ xe2 x80 x9d Zhao the CEO of Binance a le xe2 x80 xa6
2019-11-17T05:00:01.000Z,"b'#HourlyCryptoStatus (#1 to #3):\\n\\n#1 #btc (#bitcoin): 8,483.03 USD | 0.04% 24h\\n\\n#2 #eth (#ethereum): 181.33 USD | 0.\\xe2\\x80\\xa6 https://t.co/WVgGTh6Aai'",HourlyCryptoStatus 1 to 3 n n 1 tc itcoin 8 483 03 USD 0 04 24h n n 2 eth ethereum 181 33 USD 0 xe2 x80 xa6
2019-11-17T05:00:02.000Z,"b'11/17 14:00\\xe7\\x8f\\xbe\\xe5\\x9c\\xa8\\n\\n#Bitcoin : 922,545\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#NEM #XEM : 4.532\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#Monacoin : 114.5\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#Ethereum : 19,700\\xe5\\x86\\x86\\xe2\\x86\\x92\\n#Zaif : 0.158\\xe5\\x86\\x86\\xe2\\x86\\x92'",11 17 14 00 xe7 x8f xe xe5 x9c xa8 n n Bitcoin 922 545 xe5 x86 x86 xe2 x86 x93 n NEM XEM 4 532 xe5 x86 x86 xe2 x86 x93 n Monacoin 114 5 xe5 x86 x86 xe2 x86 x93 n Ethereum 19 700 xe5 x86 x86 xe2 x86 x92 n Zaif 0 158 xe5 x86 x86 xe2 x86 x92
2019-11-17T05:00:02.000Z,"\"b\"\"The Bitcoin $BTC price is currently 8543.88 $USD or 7731.11 $EUR.\\nIt's the number #1 cryptocurrency on the Earth wi\\xe2\\x80\\xa6 https://t.co/8r4z1RiRwR\"\"\"",The Bitcoin BTC price is currently 8543 88 USD or 7731 11 EUR nIt s the numer 1 cryptocurrency on the Earth wi xe2 x80 xa6
2019-11-17T05:00:02.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35565 | MercadoBitcoin(LTC) =&gt; R$249 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35565 MercadoBitcoin LTC gt R 249 itcoin litecoin
2019-11-17T05:00:02.000Z,"\"b'HSA #FineLine \\nhestylesar Tweeted:\\n\\n\"\"MY BROTHERS\"\"\\n\\n #HarryOnSNL  \\n\\nhttps://t.co/pwXYH1bBJy https://t.co/UGwBX7jpO0\\xe2\\x80\\xa6 https://t.co/aXLXLgZEfL'\"",HSA FineLine nhestylesar Tweeted n n MY BROTHERS n n HarryOnSNL n nhttps
2019-11-17T05:00:02.000Z,b'\xf0\x9f\x93\x88 #Bitcoin (#BTC $BTC) global volume weighted average is currently $8472.202 | 0.07% change over 24hrs.  #crypto\xe2\x80\xa6 https://t.co/Gg2Pu7kHr3',xf0 x9f x93 x88 Bitcoin BTC BTC gloal volume weighted average is currently 8472 202 0 07 change over 24hrs crypto xe2 x80 xa6
2019-11-17T05:00:03.000Z,b'Crypto News From the Spanish-Speaking World: Nov. 10\xe2\x80\x9316 in Review\n#bitcoin #trx #monero #hodl #trading #dash\xe2\x80\xa6 https://t.co/wh8aIORern',Crypto News From the Spanish Speaking World Nov 10 xe2 x80 x9316 in Review n itcoin trx monero hodl trading dash xe2 x80 xa6
2019-11-17T05:00:03.000Z,"\"b\"\"Tomorrow's Bitcoin(BTC) forecast is\\n        \\n\\xe2\\x96\\xb3UP 48% \\n\\xe2\\x96\\xbcDOWN 52%\\n\\n#Bitcoin",Tomorrow s Bitcoin BTC forecast is n n xe2 x96 x3UP 48 n xe2 x96 xcDOWN 52 n n Bitcoin
2019-11-17T05:00:03.000Z,"b'\\xe2\\x8f\\xb0 08:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 08 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
2019-11-17T05:00:03.000Z,b'\xe3\x81\xbf\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xae\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3(btc) \xe3\x81\xae\xe4\xba\x88\xe6\x83\xb3\n        \n\xe2\x96\xb3\xe4\xb8\x8a\xe3\x81\x92\xe4\xba\x88\xe6\x83\xb348% \n\xe2\x96\xbc\xe4\xb8\x8b\xe3\x81\x92\xe4\xba\x88\xe6\x83\xb352%\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #btcjpy #btc #bitcoin #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\n\n\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe4\xba\x88\xe6\x83\xb3\xe3\x82\xa2\xe3\x83\x97\xe3\x83\xaa\xe2\x80\xa6 https://t.co/JWt8O5mQnC',xe3 x81 xf xe3 x82 x93 xe3 x81 xaa xe3 x81 xae xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 tc xe3 x81 xae xe4 xa x88 xe6 x83 x3 n n xe2 x96 x3 xe4 x8 x8a xe3 x81 x92 xe4 xa x88 xe6 x83 x348 n xe2 x96 xc xe4 x8 x8 xe3 x81 x92 xe4 xa x88 xe6 x83 x352 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 tcjpy tc itcoin xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe4 xa x88 xe6 x83 x3 xe3 x82 xa2 xe3 x83 x97 xe3 x83 xaa xe2 x80 xa6
2019-11-17T05:00:04.000Z,b'Akita Northern Happinets vs Shimane Susanoo Magic. #bitcoin #betting - https://t.co/AAAceBPXQx',Akita Northern Happinets vs Shimane Susanoo Magic itcoin etting
2019-11-17T05:00:04.000Z,b'#suitup #gaysuitfetish #gayfetish #frenchcuff #contrastcollar #bigknot #mensfashion #gayscruff #gaysydney\xe2\x80\xa6 https://t.co/wMN9QMMSEY',suitup gaysuitfetish gayfetish frenchcuff contrastcollar igknot mensfashion gayscruff gaysydney xe2 x80 xa6
2019-11-17T05:00:04.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8472.475',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8472 475
2019-11-17T05:00:05.000Z,b'One Bitcoin now worth $8482.028. Market Cap $153.116 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8482 028 Market Cap 153 116 Billion Based on coindesk BPI itcoin
2019-11-17T05:00:06.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #tron\n3. #ethereum\n4. #xrp\n5. #ardor\n6. #nem\n7. #litecoin\n8\xe2\x80\xa6 https://t.co/ndst4aqCMg',TOP 12 most mentioned crypto this hour n1 itcoin n2 tron n3 ethereum n4 xrp n5 ardor n6 nem n7 litecoin n8 xe2 x80 xa6
2019-11-17T05:00:06.000Z,b'Top 5 #cryptocurrencies \nDaily price \n#Bitcoin: $8466 (-0.12%)\n#Ripple: $0.26 (-0.14%)\n#Ethereum: $181.54 (-0.32%)\xe2\x80\xa6 https://t.co/cC7VtUuuOk',Top 5 cryptocurrencies nDaily price n Bitcoin 8466 0 12 n Ripple 0 26 0 14 n Ethereum 181 54 0 32 xe2 x80 xa6
2019-11-17T05:00:08.000Z,"b'#BTC: \\xe2\\x82\\xba48.735,00\\n#ETH: \\xe2\\x82\\xba1.041,70\\n#LTC:  \\xe2\\x82\\xba333,77\\n#XRP: \\xe2\\x82\\xba1,51\\n\\n17.11.19 - 08:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/GhV97RsBPR'",BTC xe2 x82 xa48 735 00 n ETH xe2 x82 xa1 041 70 n LTC xe2 x82 xa333 77 n XRP xe2 x82 xa1 51 n n17 11 19 08 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T05:00:09.000Z,"b'Nov 17, 2019 05:00:00 UTC | 8,482.10$ | 7,675.20\\xe2\\x82\\xac | 6,573.50\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/Dn8F02BXfI'",Nov 17 2019 05 00 00 UTC 8 482 10 7 675 20 xe2 x82 xac 6 573 50 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T05:00:09.000Z,"b'Nov 16, 2019 09:00PM #Bitcoin Price:\\nUSD 8651.45 | EUR 7682.63 | JPY 923196.13'",Nov 16 2019 09 00PM Bitcoin Price nUSD 8651 45 EUR 7682 63 JPY 923196 13
2019-11-17T05:00:12.000Z,"b'Top 100 avg 24h return: 0.8\\xc2\\xb13.9%; 67 up, 33 down\\n$BTC 0.3%  $ETH 0.7%\\nBest:\\n25.0% $CENNZ @centralityai\\n12.5% $SNX\\xe2\\x80\\xa6 https://t.co/AgljFC0pjg'",Top 100 avg 24h return 0 8 xc2 x13 9 67 up 33 down n BTC 0 3 ETH 0 7 nBest n25 0 CENNZ n12 5 SNX xe2 x80 xa6
2019-11-17T05:00:13.000Z,b'IRS Criminal Investigators Looking Into Bitcoin ATMs and Kiosks\n#bitcoin #altcoins #AI #BigData #hodl #lambo #FUD\xe2\x80\xa6 https://t.co/MRRCR6iaUA',IRS Criminal Investigators Looking Into Bitcoin ATMs and Kiosks n itcoin altcoins AI BigData hodl lamo FUD xe2 x80 xa6
2019-11-17T05:00:13.000Z,b'How to Spot Bitcoin\xe2\x80\x99s Golden or Death Cross Using Simple Moving Averages #cryptocurrencies #bitcoin #crypto\xe2\x80\xa6 https://t.co/BgU5wgeIBI',How to Spot Bitcoin xe2 x80 x99s Golden or Death Cross Using Simple Moving Averages cryptocurrencies itcoin crypto xe2 x80 xa6
2019-11-17T05:00:15.000Z,b'2019/11/17 14:00\n\nBTC 922336\xe5\x86\x86\nETH 19712.1\xe5\x86\x86\nETC 500.9\xe5\x86\x86\nBCH 28725.2\xe5\x86\x86\nXRP 28.4\xe5\x86\x86\nXEM 4.5\xe5\x86\x86\nLSK 86\xe5\x86\x86\nMONA 114.8\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/0HeQM3PmyB',2019 11 17 14 00 n nBTC 922336 xe5 x86 x86 nETH 19712 1 xe5 x86 x86 nETC 500 9 xe5 x86 x86 nBCH 28725 2 xe5 x86 x86 nXRP 28 4 xe5 x86 x86 nXEM 4 5 xe5 x86 x86 nLSK 86 xe5 x86 x86 nMONA 114 8 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T05:00:15.000Z,b'#bitcoin Earn FREE bitcoin with this easy strategy \xe2\x96\xb6 https://t.co/K41USsQ7H8 https://t.co/0ai9aF7m7e',itcoin Earn FREE itcoin with this easy strategy xe2 x96 x6
